!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September, 01, 2025 15:10:06
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",19,,,,,,,
"Num Power Points:",32,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
1e+009,-7.20785,-75.8524,-30.9137,-119.143,-3.51684,18.6342,27.3969,137.777,0,0,0,0
1e+009,-7.21116,-75.8628,-29.1039,-151.283,-1.69868,-13.5352,27.4052,137.748,0.0083986,-0.0287056,0,0
1e+009,-7.21395,-75.7617,-28.0424,-50.9978,-0.635676,86.7831,27.4067,137.781,0.009824,0.00406787,0,0
1e+009,-7.21993,-75.7021,-27.0609,-176.948,0.340795,-39.1506,27.4017,137.797,0.00480592,0.0204211,0,0
1e+009,-7.21979,-75.6563,-26.1032,98.8284,1.30055,-123.357,27.4038,137.815,0.00692415,0.0381438,0,0
1e+009,-7.21938,-75.523,-25.1331,-68.6673,2.26715,69.1862,27.4003,137.854,0.00339905,0.0766465,0,0
1e+009,-7.2165,-75.3902,-24.1555,31.6502,3.23737,169.549,27.3928,137.899,-0.0040147,0.122046,0,0
1e+009,-7.2053,-75.1959,-23.1654,39.8341,4.21101,177.819,27.3764,137.984,-0.0204035,0.207582,0,0
1e+009,-7.19172,-75.0116,-22.1799,48.0973,5.17758,-173.875,27.3575,138.028,-0.0393348,0.250617,0,0
1e+009,-7.17377,-74.8471,-21.1965,56.3949,6.12542,-165.507,27.3219,138.098,-0.074985,0.321282,0,0
1e+009,-7.14123,-74.6728,-20.2024,-27.5303,7.072,110.651,27.2744,138.181,-0.122465,0.404598,0,0
1e+009,-7.08983,-74.3397,-19.2051,-19.1128,7.99231,119.193,27.1974,138.305,-0.199443,0.528596,0,0
1e+009,-7.00915,-73.3966,-18.2104,164.867,8.86729,-56.4996,27.0777,138.634,-0.319165,0.856937,0,0
1e+009,-6.90149,-71.1944,-17.221,39.3674,9.67077,178.722,26.8918,139.354,-0.505075,1.57754,0,0
1e+009,-6.78639,-67.1699,-16.2396,47.7714,10.3808,-171.655,26.6204,140.573,-0.77648,2.79636,0,0
1e+009,-6.70343,-61.4977,-15.2529,-119.374,11.005,22.7922,26.2579,142.166,-1.13895,4.3896,0,0
1e+009,-6.66286,-54.892,-14.2595,22.9274,11.5625,166.8,25.822,143.872,-1.57485,6.09534,0,0
1e+009,-6.6368,-47.9579,-13.2672,123.566,12.0714,-90.8927,25.3386,145.541,-2.05822,7.76418,0,0
1e+009,-6.60439,-40.9796,-12.2684,-135.737,12.5493,11.3923,24.8177,147.129,-2.57918,9.35205,0,0
1e+009,-6.5529,-34.2498,-11.2654,-127.203,13.0235,21.4208,24.2889,148.624,-3.10791,10.8474,0,0
1e+009,-6.48584,-28.0359,-10.2612,-118.665,13.5101,31.2971,23.7713,149.962,-3.62558,12.1851,0,0
1e+009,-6.41527,-22.3697,-9.25292,-68.3795,14.0093,82.7238,23.2622,151.103,-4.13465,13.3264,0,0
1e+009,-6.34343,-17.2915,-8.24394,-151.918,14.5269,0.143062,22.7709,152.061,-4.62597,14.2838,0,0
