!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:07:11
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),CompOut21(DB),CompOut21(DEG),DeltaGain21(DB),DeltaGain21(DEG)
1000000000,13.93631,-169.15457,-4.9999003,14.776363
1500000000,17.189224,-148.39026,-4.99997,1.7893026
2000000000,17.760927,-13.331504,-5.000423,-6.2957792
2500000000,18.00049,114.96688,-4.9999208,-9.5454588
3000000000,17.982151,-88.166489,-4.9999328,-12.461507
3500000000,18.023193,-139.19939,-5.0001316,-13.119952
4000000000,17.983768,164.5724,-4.9995251,-10.763076
4500000000,18.081177,130.98537,-4.9987745,-11.852549
5000000000,18.339716,101.78723,-4.9991856,-10.786151
5500000000,18.632751,4.497263,-4.9999728,-9.2159014
6000000000,18.853434,50.165901,-5.0004616,-8.1680126
6500000000,18.867622,-131.88847,-5.0000625,-7.8384814
7000000000,18.879982,-43.03545,-5.0002432,-6.6752281
7500000000,18.669161,-2.4104183,-5.0001955,-4.0875936
8000000000,18.938084,117.77806,-4.9999905,1.1938559
8500000000,18.53739,150.73941,-5.0000324,4.1572657
9000000000,18.327719,111.49358,-4.9991889,7.7018065
9500000000,18.901525,24.939901,-4.9997301,10.855826
10000000000,18.826279,-2.5915022,-4.9998684,10.917761
END

