!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September, 01, 2025 15:45:54
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",19,,,,,,,
"Num Power Points:",32,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
1e+009,-6.98989,-65.511,-31.1192,122.349,-4.24267,-95.0539,26.8765,142.597,0,0,0,0
1e+009,-6.94175,-65.4715,-29.1722,132.052,-2.34051,-85.2903,26.8317,142.658,-0.0448332,0.0607979,0,0
1e+009,-6.91533,-65.4223,-28.1836,6.04746,-1.38661,148.745,26.797,142.697,-0.0795468,0.100345,0,0
1e+009,-6.89479,-65.4231,-27.1652,-119.8,-0.414417,22.9211,26.7508,142.721,-0.125731,0.124504,0,0
1e+009,-6.85622,-65.4339,-26.1863,114.357,0.51071,-102.9,26.6971,142.743,-0.179462,0.146106,0,0
1e+009,-6.80994,-65.2644,-25.1997,-103.655,1.43797,39.1889,26.6377,142.844,-0.238809,0.246712,0,0
1e+009,-6.75549,-64.911,-24.1907,130.658,2.36461,-86.3699,26.5554,142.972,-0.321157,0.374783,0,0
1e+009,-6.68776,-64.352,-23.2112,-87.28,3.243,55.9011,26.4542,143.181,-0.422296,0.58417,0,0
1e+009,-6.61368,-63.3932,-22.2301,-120.692,4.09729,22.8294,26.3273,143.522,-0.549168,0.924778,0,0
1e+009,-6.51251,-61.7684,-21.2408,-70.8386,4.92658,73.2341,26.1673,144.073,-0.70917,1.47571,0,0
1e+009,-6.4003,-59.0197,-20.2522,20.744,5.68711,165.703,25.9393,144.959,-0.937173,2.36203,0,0
1e+009,-6.2795,-54.8151,-19.2586,-21.5607,6.37177,124.661,25.6303,146.222,-1.24617,3.62496,0,0
1e+009,-6.17916,-49.3283,-18.2609,162.274,6.97632,-49.9869,25.2372,147.739,-1.63928,5.14235,0,0
1e+009,-6.10582,-43.1424,-17.2639,36.6718,7.51271,-174.009,24.7766,149.319,-2.09995,6.72235,0,0
1e+009,-6.04185,-36.7154,-16.2654,95.5747,8.00792,-113.574,24.2733,150.852,-2.60323,8.25473,0,0
1e+009,-5.96887,-30.3447,-15.26,103.923,8.49461,-103.761,23.7546,152.316,-3.12195,9.71857,0,0
1e+009,-5.87491,-24.3874,-14.253,-155.422,8.99265,-1.78767,23.2457,153.634,-3.63085,11.0376,0,0
1e+009,-5.77772,-18.933,-13.2442,-54.6827,9.50922,100.099,22.7535,154.782,-4.12305,12.1848,0,0
1e+009,-5.67829,-14.0321,-12.2345,-4.49302,10.0524,151.267,22.2869,155.76,-4.58959,13.1627,0,0
1e+009,-5.57216,-9.69339,-11.2272,-46.4902,10.6307,110.144,21.8579,156.634,-5.01865,14.0369,0,0
1e+009,-5.45908,-5.89333,-10.2212,3.81187,11.239,161.257,21.4602,157.446,-5.41628,14.8486,0,0
1e+009,-5.34713,-2.58303,-9.21419,-79.7405,11.8832,78.4696,21.0974,158.21,-5.77916,15.6132,0,0
1e+009,-5.23364,0.363935,-8.20855,-70.9956,12.5488,87.9407,20.7574,158.936,-6.11914,16.3394,0,0
1e+009,-5.12403,2.98079,-7.20265,163.926,13.2352,-36.4511,20.4378,159.623,-6.43869,17.0258,0,0
1e+009,-5.00584,5.37076,-6.19454,-104.002,13.9215,56.3248,20.116,160.327,-6.76051,17.7296,0,0
1e+009,-4.83717,7.9502,-5.19417,130.88,14.5179,-67.8684,19.7121,161.252,-7.16441,18.6549,0,0
1e+009,-4.50844,11.6572,-4.1862,139.653,14.8297,-57.2206,19.0159,163.127,-7.86061,20.5296,0,0
1e+009,-3.98575,17.0138,-3.16666,148.36,14.6465,-45.1381,17.8131,166.502,-9.06338,23.9049,0,0
1e+009,-2.34814,43.6012,-1.93971,64.6178,-0.855305,-127.743,1.0844,167.639,-25.7921,25.0418,0,0
1e+009,-2.47191,45.125,-0.922892,-152.493,-2.85183,16.8733,-1.92893,169.367,-28.8054,26.7696,0,0
1e+009,-2.72974,46.1993,0.0902565,-51.238,-3.98611,119.614,-4.07637,170.852,-30.9529,28.2548,0,0
1e+009,-3.04688,47.2376,1.1009,50.0982,-4.79468,-137.743,-5.89559,172.159,-32.7721,29.562,0,0
1.5e+009,-9.46058,-115.413,-30.1462,-13.5097,-1.0718,51.4841,29.0744,64.9939,0,0,0,0
1.5e+009,-9.42472,-115.349,-28.7568,-5.35973,0.297563,59.6804,29.0544,65.0401,-0.0199864,0.0462839,0,0
1.5e+009,-9.40661,-115.321,-27.689,-131.503,1.35252,-66.4434,29.0415,65.0598,-0.032875,0.0659602,0,0
1.5e+009,-9.37466,-115.282,-26.7055,102.234,2.31422,167.308,29.0197,65.0742,-0.0546161,0.0803122,0,0
1.5e+009,-9.3476,-115.284,-25.7792,-24.1055,3.21548,40.9934,28.9947,65.0989,-0.0797124,0.105054,0,0
1.5e+009,-9.30796,-115.297,-24.7825,117.588,4.18891,-177.27,28.9714,65.1411,-0.102948,0.147259,0,0
1.5e+009,-9.2614,-115.228,-23.8024,-8.59614,5.13204,56.5863,28.9344,65.1824,-0.139976,0.188573,0,0
1.5e+009,-9.2046,-115.135,-22.8022,133.109,6.08641,-161.675,28.8886,65.2163,-0.185799,0.222468,0,0
1.5e+009,-9.13621,-115.022,-21.8087,99.383,7.02769,164.654,28.8364,65.2705,-0.238006,0.27665,0,0
1.5e+009,-9.05566,-114.802,-20.8201,148.877,7.95089,-145.776,28.771,65.3462,-0.303351,0.35238,0,0
1.5e+009,-8.95635,-114.31,-19.8257,-119.822,8.859,-54.3494,28.6847,65.4725,-0.389687,0.478618,0,0
1.5e+009,-8.83555,-113.563,-18.8238,-162.378,9.76259,-96.735,28.5864,65.6427,-0.488015,0.648808,0,0
1.5e+009,-8.69543,-112.312,-17.8319,21.2429,10.6281,87.1464,28.46,65.9036,-0.614359,0.909709,0,0
1.5e+009,-8.51754,-110.224,-16.841,-104.551,11.4505,-38.241,28.2915,66.3095,-0.782847,1.31567,0,0
