!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:45:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG),"Eq=kfac(S11,S21,S12,S22)"(DB),"Eq=kfac(S11,S21,S12,S22)"(DEG),"Eq=mu1(S11,S21,S12,S22)"(DB),"Eq=mu1(S11,S21,S12,S22)"(DEG),"Eq=mu2(S11,S21,S12,S22)"(DB),"Eq=mu2(S11,S21,S12,S22)"(DEG)
10000000,-0.47003362,-26.680058,-49.14283,64.298859,-56.440685,69.040062,-0.12819533,-12.026527,23.839542,0,0.052855633,0,0.10721582,0
51868750,-0.62030452,-33.265747,-29.136229,-22.237448,-56.577621,60.68652,-0.18248717,-14.322423,27.098454,0,0.010090526,0,0.69237268,0
93737500,-0.82128328,-40.999729,-20.372818,-50.913578,-57.064182,50.245968,-0.20497705,-17.055479,20.515697,0,0.049959823,0,0.49031004,0
135606250,-1.0941217,-50.139233,-15.319294,-66.901917,-57.25705,39.133022,-0.22650804,-20.185905,17.861273,0,0.056910101,0,0.35335934,0
177475000,-1.4561898,-60.941734,-11.694868,-80.113029,-57.474018,26.737762,-0.25162557,-23.703024,15.022692,0,0.065415196,0,0.38828453,0
219343750,-1.9089446,-73.742241,-9.1842566,-90.770981,-57.741394,14.268309,-0.28461227,-27.601999,15.305938,0,0.1170641,0,0.64605415,0
261212500,-2.4203489,-88.757538,-7.5385842,-97.855499,-57.860889,2.7109776,-0.32689247,-31.899908,21.782646,0,0.14450552,0,0.9596948,0
303081250,-2.9344318,-105.88007,-6.087894,-94.462006,-57.76292,-11.071525,-0.37914324,-36.598324,25.104862,0,0.27552247,0,1.2813365,0
344950000,-3.4163005,-124.73233,-1.144415,-88.139175,-57.614338,-25.62266,-0.44605052,-41.716644,27.193935,0,0.89430285,0,1.8168916,0
386818750,-3.8639994,-144.93933,-0.5585162,-133.7332,-57.461815,-40.364067,-0.5295977,-47.278126,26.649509,0,0.90310347,0,2.4452391,0
428687500,-4.2436323,-165.6429,-4.7961302,-98.305603,-55.895531,-49.82708,-0.63702506,-53.016163,32.118145,0,0.417707,0,3.3535583,0
470556250,-4.6215749,173.24112,1.6694442,-69.728378,-54.865665,-49.458126,-0.76559144,-58.938377,21.773573,0,0.37300056,0,4.115519,0
512425000,-4.9937778,152.05603,7.5260739,-74.193344,-53.650177,-57.852337,-0.92115939,-65.040871,18.655174,0,0.41100556,0,5.1354003,0
554293750,-5.359869,130.94177,11.847392,-86.652245,-52.53648,-75.801323,-1.1098624,-71.344246,18.170675,0,0.53477633,0,6.6094866,0
