!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:43:16
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),NF(DB),NF(DEG)
1000000000,1.0311582,0
1500000000,0.70773137,0
2000000000,0.5601359,0
2500000000,0.50604498,0
3000000000,0.4712013,0
3500000000,0.39307642,0
4000000000,0.49210489,0
4500000000,0.31655377,0
5000000000,0.46218833,0
5500000000,0.36427543,0
6000000000,0.34755909,0
6500000000,0.46475968,0
7000000000,0.4775694,0
7500000000,0.54157758,0
8000000000,0.52486694,0
8500000000,0.58403325,0
9000000000,0.72525543,0
9500000000,0.8311587,0
10000000000,0.80029798,0
END

