!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 16:01:51
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),NF(DB),NF(DEG)
1000000000,1.6632847,0
1500000000,1.0784762,0
2000000000,0.87515873,0
2500000000,0.7701599,0
3000000000,0.74707294,0
3500000000,0.67517871,0
4000000000,0.86613661,0
4500000000,0.65542269,0
5000000000,0.74303198,0
5500000000,0.74189568,0
6000000000,0.79934752,0
6500000000,0.806261,0
7000000000,0.860753,0
7500000000,0.8876844,0
8000000000,0.94762558,0
8500000000,1.0394609,0
9000000000,1.1486815,0
9500000000,1.3227315,0
10000000000,1.3258179,0
END

