!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September, 01, 2025 16:03:53
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",19,,,,,,,
"Num Power Points:",32,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
1e+009,-7.68232,-76.583,-30.9857,99.4124,-3.87724,-124.974,27.1085,135.613,0,0,0,0
1e+009,-7.70012,-76.446,-29.0658,-158.796,-1.9598,-23.1286,27.106,135.667,-0.0024666,0.0539685,0,0
1e+009,-7.70315,-76.4463,-28.0548,75.3819,-0.939483,-148.995,27.1153,135.623,0.00684455,0.00931605,0,0
1e+009,-7.7019,-76.4162,-27.0685,-50.5582,0.0453394,85.0946,27.1138,135.653,0.00530287,0.0394336,0,0
1e+009,-7.70218,-76.2761,-26.072,-176.396,1.04764,-40.6925,27.1197,135.703,0.0111617,0.0898179,0,0
1e+009,-7.70595,-76.1927,-25.0799,-34.4108,2.03723,101.302,27.1171,135.713,0.00859133,0.0995326,0,0
1e+009,-7.71135,-76.0666,-24.07,158.285,3.04718,-65.9698,27.1172,135.745,0.00872206,0.131563,0,0
1e+009,-7.7183,-75.8723,-23.0898,115.822,4.01956,-108.359,27.1093,135.819,0.000851047,0.20556,0,0
1e+009,-7.70967,-75.6759,-22.0938,-9.72718,5.00846,126.147,27.1023,135.875,-0.00623004,0.261356,0,0
1e+009,-7.70311,-75.3876,-21.1111,-52.0477,5.97854,83.9437,27.0897,135.991,-0.0188036,0.378011,0,0
1e+009,-7.69686,-75.0852,-20.1035,-135.937,6.95879,0.14929,27.0623,136.086,-0.0461793,0.4728,0,0
1e+009,-7.67073,-74.8342,-19.1057,-85.8612,7.91893,50.3265,27.0246,136.188,-0.083853,0.574338,0,0
1e+009,-7.62486,-74.3724,-18.107,56.4656,8.84466,-167.178,26.9517,136.357,-0.156816,0.74319,0,0
1e+009,-7.53914,-73.156,-17.1168,157.179,9.71308,-66.0508,26.8299,136.77,-0.278601,1.15683,0,0
1e+009,-7.41877,-70.3586,-16.1317,123.965,10.4961,-98.3719,26.6277,137.664,-0.480779,2.05027,0,0
1e+009,-7.29984,-65.6567,-15.1461,-135.375,11.1811,3.67978,26.3272,139.054,-0.781282,3.44105,0,0
1e+009,-7.21325,-59.602,-14.1582,-126.939,11.7851,13.7735,25.9433,140.712,-1.1652,5.09888,0,0
1e+009,-7.1613,-52.9752,-13.1676,15.3967,12.3349,157.79,25.5025,142.393,-1.60602,6.77985,0,0
1e+009,-7.12163,-46.1989,-12.1732,116.094,12.8435,-99.9204,25.0167,143.985,-2.09179,8.37185,0,0
1e+009,-7.07141,-39.405,-11.1761,124.62,13.3144,-89.8456,24.4906,145.535,-2.61793,9.92145,0,0
1e+009,-7.01,-32.9224,-10.176,133.195,13.7764,-79.8252,23.9524,146.98,-3.15612,11.3665,0,0
1e+009,-6.94967,-26.955,-9.17139,49.5687,14.245,-162.17,23.4164,148.261,-3.69214,12.6476,0,0
1e+009,-6.90222,-21.564,-8.16545,-33.995,14.7218,115.348,22.8872,149.343,-4.22124,13.7293,0,0
1e+009,-6.86811,-16.6573,-7.15725,-159.152,15.2059,-8.88627,22.3631,150.266,-4.74536,14.6529,0,0
1e+009,-6.84288,-12.1471,-6.14379,-108.73,15.6918,42.3658,21.8356,151.096,-5.27286,15.4826,0,0
1e+009,-6.81977,-7.9983,-5.14049,126.171,16.1657,-81.9123,21.3062,151.916,-5.80233,16.3029,0,0
1e+009,-6.79859,-4.06118,-4.13358,93.3042,16.6157,-113.882,20.7493,152.814,-6.35922,17.2007,0,0
1e+009,-6.75935,-0.121661,-3.12553,-31.7156,17.004,122.154,20.1295,153.87,-6.97895,18.2566,0,0
1e+009,-6.66513,4.04858,-2.11147,-156.748,17.2914,-1.52292,19.4029,155.225,-7.70559,19.6115,0,0
1e+009,-6.47498,8.77586,-1.092,78.2233,17.3908,-124.517,18.4828,157.259,-8.62569,21.646,0,0
1e+009,-6.26956,14.3167,-0.0623743,-46.8209,17.176,113.415,17.2384,160.236,-9.8701,24.6224,0,0
1e+009,-5.60884,39.2486,1.1092,54.2154,7.17976,-142.494,6.07056,163.291,-21.0379,27.6775,0,0
1.5e+009,-9.97236,-123.91,-30.0788,-36.9897,-0.827111,23.9841,29.2517,60.9738,0,0,0,0
1.5e+009,-9.97784,-123.911,-28.6785,63.3893,0.579673,124.38,29.2582,60.9911,0.00652561,0.0173243,0,0
1.5e+009,-9.97388,-123.91,-27.676,-62.8229,1.58331,-1.85829,29.2593,60.9646,0.00760381,-0.00919447,0,0
1.5e+009,-9.98483,-123.893,-26.7225,170.844,2.53852,-128.176,29.261,60.9798,0.0093317,0.00599493,0,0
1.5e+009,-9.99119,-123.794,-25.6799,44.7055,3.58268,105.691,29.2626,60.9853,0.0108663,0.0114732,0,0
1.5e+009,-9.99575,-123.765,-24.6972,-173.689,4.56475,-112.705,29.262,60.9846,0.0102718,0.0108495,0,0
1.5e+009,-10.0031,-123.752,-23.7095,18.5351,5.55601,79.5315,29.2655,60.9964,0.0137898,0.0226297,0,0
1.5e+009,-10.0091,-123.673,-22.7228,-24.217,6.54516,36.7889,29.268,61.0059,0.016305,0.0320842,0,0
1.5e+009,-10.0183,-123.601,-21.7335,-150.251,7.5353,-89.2289,29.2688,61.0226,0.0170729,0.0487709,0,0
1.5e+009,-10.0297,-123.474,-20.7344,167.063,8.53693,-131.885,29.2713,61.0521,0.0196294,0.0782688,0,0
1.5e+009,-10.0448,-123.363,-19.7379,82.7507,9.53248,143.824,29.2704,61.0733,0.0186784,0.099493,0,0
1.5e+009,-10.0535,-123.207,-18.7401,132.402,10.5297,-166.496,29.2698,61.1012,0.01815,0.127379,0,0
1.5e+009,-10.0593,-123.02,-17.7431,-85.7405,11.5223,-24.6043,29.2654,61.1361,0.0137057,0.162342,0,0
1.5e+009,-10.0673,-122.783,-16.7441,14.562,12.5119,75.7411,29.256,61.1791,0.00430839,0.205345,0,0
1.5e+009,-10.0715,-122.563,-15.7488,-19.0499,13.4924,42.1531,29.2412,61.203,-0.0105154,0.229207,0,0
1.5e+009,-10.0596,-122.292,-14.7524,81.3146,14.4592,142.539,29.2116,61.2246,-0.0400668,0.25082,0,0
1.5e+009,-10.0147,-121.825,-13.7558,89.4894,15.3979,150.778,29.1537,61.2882,-0.0980101,0.314367,0,0
1.5e+009,-9.88593,-120.595,-12.7601,-128.445,16.2812,-66.9081,29.0412,61.5365,-0.210479,0.56275,0,0
1.5e+009,-9.58678,-117.101,-11.7717,-27.9269,17.0368,34.3529,28.8085,62.2798,-0.443168,1.306,0,0
1.5e+009,-9.06062,-109.311,-10.7981,-19.4372,17.5572,44.4586,28.3554,63.8958,-0.89634,2.92203,0,0
1.5e+009,-8.50658,-99.0025,-9.83275,-10.8561,17.8957,54.7296,27.7285,65.5857,-1.52322,4.61192,0,0
1.5e+009,-8.02231,-88.9011,-8.86941,-94.5558,18.1585,-27.8958,27.0279,66.66,-2.22383,5.6862,0,0
1.5e+009,-7.54663,-79.3404,-7.90498,-178.226,18.351,-111.017,26.256,67.2098,-2.99573,6.23601,0,0
1.5e+009,-7.07205,-70.4172,-6.94138,56.4619,18.4645,123.65,25.4059,67.1886,-3.8458,6.21476,0,0
1.5e+009,-6.61335,-62.1768,-5.97249,106.578,18.4986,173.062,24.4711,66.4845,-4.78063,5.51073,0,0
1.5e+009,-6.19615,-54.7798,-5.00516,-18.8704,18.4648,46.1252,23.4699,64.9956,-5.78178,4.02177,0,0
1.5e+009,-5.83761,-48.348,-4.03622,-52.1745,18.3773,10.614,22.4135,62.7885,-6.83818,1.81466,0,0
1.5e+009,-5.50725,-42.8891,-3.06362,-177.707,18.1967,-117.449,21.2603,60.2581,-7.99142,-0.715723,0,0
1.5e+009,-5.09356,-37.7503,-2.09107,56.6996,17.6041,114.905,19.6952,58.2058,-9.5565,-2.76797,0,0
1.5e+009,-4.74317,-33.2275,-1.11738,-68.9022,16.5885,-10.8044,17.7059,58.0977,-11.5458,-2.87606,0,0
1.5e+009,-4.01445,-14.0754,-0.184319,165.054,6.82754,-135.582,7.01186,59.3639,-22.2398,-1.60993,0,0
1.5e+009,-4.08918,-9.7314,0.816668,-94.7063,2.37329,-34.2553,1.55663,60.451,-27.6951,-0.522786,0,0
2e+009,-11.5318,-150.053,-29.8133,173.035,-0.458752,-167.889,29.3546,19.0758,0,0,0,0
2e+009,-11.5406,-150.163,-28.6201,-87.4543,0.735769,-68.4046,29.3558,19.0497,0.00127754,-0.0261643,0,0
2e+009,-11.5447,-150.051,-27.5743,145.825,1.77945,164.903,29.3537,19.078,-0.000820145,0.00215265,0,0
2e+009,-11.5503,-150.087,-26.6062,19.057,2.74801,38.1257,29.3542,19.0688,-0.00035983,-0.00707639,0,0
2e+009,-11.5465,-150.035,-25.5947,-107.683,3.7629,-88.5935,29.3576,19.0898,0.0030633,0.0139505,0,0
2e+009,-11.557,-149.953,-24.6188,33.3943,4.73937,52.5046,29.3582,19.1103,0.00366494,0.0344348,0,0
2e+009,-11.5739,-149.894,-23.6206,-134.963,5.73817,-115.845,29.3588,19.1179,0.00424581,0.0420445,0,0
2e+009,-11.5758,-149.844,-22.6323,-178.179,6.72604,-159.053,29.3583,19.1259,0.00375909,0.0500993,0,0
2e+009,-11.5846,-149.825,-21.6316,55.1817,7.7299,74.3116,29.3614,19.1299,0.00689365,0.0540503,0,0
2e+009,-11.5984,-149.716,-20.6456,11.9704,8.7192,31.1275,29.3648,19.1571,0.0102517,0.0812264,0,0
2e+009,-11.6164,-149.662,-19.6518,-72.9098,9.71339,-53.7485,29.3652,19.1614,0.0106788,0.0855383,0,0
2e+009,-11.6266,-149.515,-18.6511,-23.7663,10.7157,-4.58617,29.3668,19.1801,0.0122387,0.104254,0,0
2e+009,-11.6431,-149.383,-17.6546,117.483,11.7133,136.667,29.3679,19.1847,0.0133067,0.108847,0,0
2e+009,-11.6649,-149.184,-16.652,-142.787,12.7128,-123.585,29.3648,19.2019,0.0102723,0.12603,0,0
2e+009,-11.6857,-148.962,-15.6606,-176.964,13.6996,-157.761,29.3602,19.2023,0.00567515,0.126427,0,0
2e+009,-11.6998,-148.626,-14.6632,-77.1717,14.6864,-57.9569,29.3496,19.2149,-0.00492268,0.139043,0,0
2e+009,-11.7032,-148.24,-13.6665,-69.6629,15.6607,-50.4517,29.3272,19.2111,-0.027386,0.135271,0,0
2e+009,-11.6775,-147.661,-12.6691,71.809,16.6137,91.0192,29.2828,19.2101,-0.071781,0.134293,0,0
2e+009,-11.5576,-146.712,-11.6739,171.626,17.5064,-169.129,29.1803,19.2444,-0.174266,0.168597,0,0
2e+009,-11.1415,-143.97,-10.6701,179.249,18.243,-161.213,28.9132,19.5374,-0.441377,0.461537,0,0
2e+009,-10.2321,-135.936,-9.66007,-173.11,18.6674,-152.608,28.3275,20.5024,-1.02704,1.42658,0,0
2e+009,-9.26787,-124.448,-8.66032,102.47,18.8764,123.789,27.5367,21.3182,-1.81782,2.24236,0,0
2e+009,-8.4312,-113.295,-7.67434,18.0251,19.0061,39.4827,26.6804,21.4576,-2.67415,2.38173,0,0
2e+009,-7.7271,-103.466,-6.70059,-107.964,19.1008,-87.2197,25.8014,20.7441,-3.55315,1.66827,0,0
2e+009,-7.1252,-94.8716,-5.73148,-58.5723,19.1653,-39.5147,24.8968,19.0577,-4.4578,-0.018175,0,0
2e+009,-6.51176,-86.9728,-4.77238,175.317,19.0998,-168.184,23.8722,16.4998,-5.48237,-2.57601,0,0
2e+009,-5.77624,-79.3458,-3.81206,141.506,18.6952,154.57,22.5072,13.0637,-6.84733,-6.0121,0,0
2e+009,-5.00903,-73.058,-2.83772,15.449,17.819,24.8091,20.6567,9.36007,-8.69783,-9.71578,0,0
2e+009,-4.4208,-68.7672,-1.84637,-110.718,16.5199,-103.72,18.3663,6.99819,-10.9883,-12.0776,0,0
2e+009,-4.1514,-65.5567,-0.84562,123.136,15.2088,129.74,16.0544,6.60442,-13.3002,-12.4714,0,0
2e+009,-4.09216,-63.2034,0.151885,-3.1057,14.1213,4.58833,13.9695,7.69403,-15.3851,-11.3818,0,0
2e+009,-4.14375,-61.1558,1.1672,96.7441,13.163,106.706,11.9958,9.96165,-17.3588,-9.11419,0,0
2.5e+009,-12.8247,-170.241,-29.9435,7.57531,-0.717207,-2.65797,29.2263,-10.2333,0,0,0,0
2.5e+009,-12.8258,-170.21,-28.7997,106.51,0.427916,96.251,29.2277,-10.259,0.00138416,-0.0257053,0,0
2.5e+009,-12.8339,-170.14,-27.7647,-20.7451,1.46062,-31,29.2254,-10.255,-0.000916978,-0.0216967,0,0
2.5e+009,-12.853,-170.159,-26.7517,-147.886,2.47384,-158.149,29.2256,-10.2631,-0.000686809,-0.0298313,0,0
2.5e+009,-12.845,-170.078,-25.7917,84.7998,3.43469,74.5823,29.2264,-10.2175,0.000117521,0.0158185,0,0
2.5e+009,-12.8512,-170.083,-24.7838,-134.581,4.44122,-144.798,29.225,-10.2169,-0.00122639,0.0163601,0,0
2.5e+009,-12.8451,-170.102,-23.8023,56.5796,5.42807,46.3597,29.2304,-10.2199,0.00413564,0.0134219,0,0
2.5e+009,-12.856,-169.98,-22.8104,12.9308,6.422,2.73059,29.2324,-10.2002,0.00615288,0.0330923,0,0
2.5e+009,-12.8642,-169.953,-21.8143,-114.246,7.41661,-124.423,29.2309,-10.1771,0.00467353,0.0561412,0,0
2.5e+009,-12.8785,-169.87,-20.8187,-157.936,8.41297,-168.109,29.2317,-10.1733,0.00544506,0.0600255,0,0
2.5e+009,-12.8914,-169.765,-19.8129,116.693,9.41833,106.542,29.2313,-10.1507,0.00500657,0.0825448,0,0
2.5e+009,-12.9065,-169.705,-18.8131,165.371,10.419,155.22,29.2321,-10.1513,0.00578683,0.0820028,0,0
2.5e+009,-12.9142,-169.565,-17.8138,-53.9294,11.4222,-64.0634,29.236,-10.134,0.0097336,0.099261,0,0
2.5e+009,-12.9491,-169.444,-16.8211,45.216,12.4151,35.0849,29.2362,-10.1311,0.00991129,0.102165,0,0
2.5e+009,-12.9738,-169.226,-15.8258,10.5951,13.4081,0.46351,29.2338,-10.1315,0.0075666,0.101738,0,0
2.5e+009,-13.0052,-169.01,-14.83,109.859,14.398,99.7067,29.2279,-10.1521,0.00163827,0.0811478,0,0
2.5e+009,-13.0347,-168.63,-13.8355,116.79,15.3833,106.604,29.2188,-10.1861,-0.00748049,0.0471801,0,0
2.5e+009,-13.057,-168.176,-12.8415,-102.199,16.3596,-112.43,29.2011,-10.2313,-0.025182,0.00201805,0,0
2.5e+009,-13.0445,-167.416,-11.8447,-2.92011,17.3113,-13.2141,29.1559,-10.294,-0.0703201,-0.0607084,0,0
2.5e+009,-12.9299,-166.113,-10.8476,4.09476,18.2063,-6.29233,29.0539,-10.3871,-0.172325,-0.153806,0,0
2.5e+009,-12.5426,-163.669,-9.85817,11.0908,18.9493,0.566892,28.8075,-10.5239,-0.418755,-0.290631,0,0
2.5e+009,-11.6344,-157.878,-8.86222,-73.9634,19.4135,-84.5091,28.2757,-10.5457,-0.950593,-0.312419,0,0
2.5e+009,-10.3828,-147.315,-7.86146,-159.081,19.5968,-169.513,27.4583,-10.4318,-1.76798,-0.19857,0,0
2.5e+009,-9.19992,-135.477,-6.86356,74.2576,19.6552,63.4922,26.5187,-10.7653,-2.70752,-0.532061,0,0
2.5e+009,-8.13629,-124.51,-5.86905,123.062,19.6295,111.157,25.4985,-11.9046,-3.72774,-1.67137,0,0
2.5e+009,-7.05546,-114.36,-4.87826,-3.58714,19.3957,-17.5383,24.2739,-13.9512,-4.95233,-3.71792,0,0
2.5e+009,-5.98255,-105.329,-3.88877,-37.9263,18.8519,-54.9583,22.7406,-17.032,-6.48563,-6.79876,0,0
2.5e+009,-5.03885,-98.3726,-2.90566,-164.644,17.892,174.463,20.7976,-20.8922,-8.42863,-10.6589,0,0
2.5e+009,-4.45573,-94.5391,-1.91471,68.6159,16.7921,44.158,18.7068,-24.4579,-10.5195,-14.2246,0,0
2.5e+009,-4.20157,-92.6339,-0.920473,-58.1303,15.8296,-84.6813,16.7501,-26.551,-12.4762,-16.3177,0,0
2.5e+009,-4.14198,-91.444,0.0784811,175.07,15.0329,147.717,14.9544,-27.353,-14.2719,-17.1197,0,0
2.5e+009,-4.18243,-90.3146,1.07668,-85.5696,14.3331,-112.811,13.2564,-27.2409,-15.9699,-17.0076,0,0
3e+009,-14.1354,173.574,-29.8752,-165.338,-0.76116,160.891,29.114,-33.7716,0,0,0,0
3e+009,-14.1499,173.525,-28.7631,-67.0379,0.351233,-100.797,29.1143,-33.7586,0.000276453,0.0130407,0,0
3e+009,-14.1475,173.619,-27.805,165.088,1.3059,131.363,29.1109,-33.7253,-0.00318644,0.0463148,0,0
3e+009,-14.155,173.636,-26.7862,37.3844,2.32701,3.65761,29.1132,-33.7268,-0.000819109,0.0448547,0,0
