!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 16:03:52
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),OIP3(DB),OIP3(DEG)
1000000000,26.117838,0
1500000000,30.835016,0
2000000000,32.231441,0
2500000000,32.014256,0
3000000000,31.292978,0
3500000000,30.314302,0
4000000000,29.759546,0
4500000000,29.604242,0
5000000000,30.025396,0
5500000000,29.482487,0
6000000000,28.920872,0
6500000000,28.558008,0
7000000000,28.499893,0
7500000000,28.146631,0
8000000000,28.032194,0
8500000000,27.462294,0
9000000000,27.250336,0
9500000000,28.086075,0
10000000000,28.566113,0
END

