!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:05:32
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG),"Eq=kfac(S11,S21,S12,S22)"(DB),"Eq=kfac(S11,S21,S12,S22)"(DEG),"Eq=mu1(S11,S21,S12,S22)"(DB),"Eq=mu1(S11,S21,S12,S22)"(DEG),"Eq=mu2(S11,S21,S12,S22)"(DB),"Eq=mu2(S11,S21,S12,S22)"(DEG)
10000000,-0.50136161,-26.560516,-47.287346,54.158836,-56.820999,-163.4857,-0.14099905,-12.146994,4.4018059,0,0.018117024,0,0.012312018,0
51868750,-0.69208384,-33.071621,-28.603096,-31.603729,-57.186531,-176.41399,-0.19531532,-14.442999,42.505737,0,0.049563672,0,0.75383109,0
93737500,-0.9477762,-40.712326,-20.136496,-56.680801,-57.738686,164.93942,-0.22260872,-17.182457,24.257826,0,0.068647772,0,0.47197509,0
135606250,-1.2959739,-49.711796,-15.413447,-70.726746,-58.486916,150.65601,-0.24964492,-20.310091,21.738333,0,0.09628091,0,0.45836157,0
177475000,-1.7633095,-60.386681,-11.82809,-82.701752,-59.233643,133.36543,-0.28231791,-23.828075,30.863733,0,0.12268505,0,0.56372905,0
219343750,-2.3552115,-73.192863,-9.316783,-91.918274,-59.895081,114.7439,-0.32327017,-27.727991,24.569639,0,0.15141524,0,0.79750508,0
261212500,-3.0113885,-88.525787,-7.3970451,-97.07859,-60.121998,96.776619,-0.3738223,-32.022388,26.19532,0,0.19947691,0,1.1691628,0
303081250,-3.6363471,-106.19582,-5.2273297,-93.638168,-60.207775,77.489937,-0.43601263,-36.722775,28.153837,0,0.33539814,0,1.6013423,0
344950000,-4.1942902,-125.61156,0.1693863,-95.662079,-60.235226,58.209969,-0.51373112,-41.84446,30.974249,0,1.0284504,0,2.2908225,0
386818750,-4.691205,-146.33463,-0.68544537,-141.70522,-60.246555,38.254982,-0.60908079,-47.39978,29.977818,0,0.90706885,0,3.0780039,0
428687500,-5.0994439,-167.47789,-4.3651657,-104.26325,-58.611626,9.1412191,-0.72592539,-53.130814,33.263035,0,0.48173332,0,4.2235265,0
470556250,-5.4951692,171.02443,1.7262841,-78.59623,-57.578232,-26.03544,-0.8668049,-59.050495,31.853212,0,0.47671452,0,5.7267632,0
512425000,-5.876574,149.49318,7.2499738,-82.244331,-56.439243,-53.069908,-1.0363286,-65.154892,28.759682,0,0.5605641,0,7.4520431,0
554293750,-6.2440381,128.0775,11.415814,-93.641121,-54.687012,-78.404572,-1.2383811,-71.460945,25.495682,0,0.68346399,0,9.1511984,0
596162500,-6.5954776,106.84984,14.586402,-107.69197,-53.4347,-97.244591,-1.4758832,-77.945442,16.904781,0,0.7727828,0,9.5594759,0
638031250,-6.9306493,85.926414,17.062225,-122.0991,-52.230045,-119.65612,-1.752979,-84.616013,13.620174,0,0.88730156,0,8.7447758,0
679900000,-7.245553,65.397064,19.022539,-136.02296,-51.110973,-137.77211,-2.0660257,-91.432083,12.325348,0,1.0959707,0,8.3354654,0
721768750,-7.5276027,45.407955,20.611874,-149.33041,-50.147648,-153.03206,-2.3844175,-98.361694,11.746201,0,1.335927,0,7.4775476,0
763637500,-7.765954,26.020365,21.947126,-161.78398,-49.359646,-163.72771,-2.7573791,-106.07021,9.6102505,0,1.5533385,0,6.5455375,0
805506250,-7.9495406,7.4645104,23.049484,-173.48102,-48.397091,-169.14331,-3.2089179,-113.88087,9.7990961,0,1.9294351,0,6.2551355,0
847375000,-8.0530825,-9.9955854,23.994772,175.37454,-47.192348,-179.34686,-3.7112761,-121.88084,8.0464306,0,2.1756504,0,5.6247392,0
889243750,-8.0490551,-26.021622,24.801556,165.0322,-45.940536,173.20079,-4.2573047,-130.06253,7.706233,0,2.5927119,0,5.4499006,0
931112500,-7.9328651,-40.146286,25.46711,155.06615,-44.815998,166.85107,-4.8428869,-138.47556,7.5047894,0,3.0058868,0,5.2121553,0
972981250,-7.7610879,-51.948799,26.057827,145.69891,-44.077702,159.5047,-5.4601879,-147.10672,7.1178637,0,3.4216478,0,5.0126448,0
1014850000,-7.6321602,-61.618614,26.533089,136.93353,-43.466934,153.51576,-6.1028719,-155.97675,6.3586583,0,3.8400192,0,4.9185462,0
1056718750,-7.5788584,-69.724312,26.942379,128.47977,-42.896721,147.15312,-6.7606797,-165.06813,5.9206557,0,4.2074523,0,4.7361894,0
1098587500,-7.5975227,-76.677238,27.287352,120.62624,-42.390202,141.34009,-7.422317,-174.3663,6.0419564,0,4.7767067,0,4.7923746,0
1140456250,-7.6719847,-82.807182,27.559341,113.11985,-41.940907,136.00061,-8.0737782,176.18356,6.2807565,0,5.3845606,0,4.8659916,0
1182325000,-7.7792029,-88.28714,27.801466,106.07336,-41.492954,130.32053,-8.7039394,166.62701,5.6775446,0,5.6599216,0,4.697154,0
1224193750,-7.9102702,-93.209274,27.978502,99.413193,-41.139893,125.27328,-9.3068562,156.99554,5.0648007,0,5.8884311,0,4.5127425,0
1266062500,-8.0595436,-97.701088,28.134678,93.090492,-40.869087,120.19762,-9.8743658,147.35855,5.6868,0,6.6694636,0,4.8272567,0
1307931250,-8.2162161,-101.81886,28.258009,87.21904,-40.59333,115.63594,-10.393467,137.73795,5.0286803,0,6.7369781,0,4.586803,0
1349800000,-8.3747063,-105.60508,28.345955,81.544159,-40.369228,111.48,-10.865407,128.20747,4.8833895,0,7.0698109,0,4.6047883,0
1391668750,-8.5360889,-109.11886,28.430412,76.293892,-40.198002,107.07185,-11.279975,118.79742,4.6429224,0,7.1864991,0,4.5249686,0
1433537500,-8.6910048,-112.4277,28.486538,71.297188,-40.0471,103.37486,-11.639408,109.55299,5.3097734,0,7.718945,0,4.8977022,0
1475406250,-8.8422451,-115.51894,28.544569,66.508255,-39.889324,99.646729,-11.93926,100.50283,4.2844439,0,7.1125484,0,4.4687405,0
1517275000,-8.9903717,-118.43675,28.577007,62.017872,-39.712406,96.287621,-12.177696,91.697838,4.4290867,0,7.238658,0,4.5948057,0
1559143750,-9.132329,-121.22628,28.610916,57.661777,-39.563782,93.274879,-12.356817,83.183289,4.0562797,0,6.8700271,0,4.4254251,0
1601012500,-9.2688932,-123.87279,28.640049,53.578262,-39.502277,90.632614,-12.471994,74.977951,4.7042255,0,7.1833558,0,4.8263993,0
1642881250,-9.3982334,-126.40738,28.653172,49.589512,-39.359055,87.826477,-12.533301,67.169441,4.3528786,0,6.7678099,0,4.6886182,0
1684750000,-9.525609,-128.85402,28.676764,45.811333,-39.281494,85.284828,-12.544466,59.715511,4.5763993,0,6.8181019,0,4.8470707,0
1726618750,-9.6436462,-131.21591,28.676998,42.160709,-39.218071,82.501686,-12.509398,52.706806,4.4026866,0,6.5304847,0,4.8304567,0
1768487500,-9.7593231,-133.4944,28.682592,38.63303,-39.172958,80.171547,-12.437682,46.118164,4.1566744,0,6.1255145,0,4.6596937,0
