!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 14:56:13
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),NF(DB),NF(DEG)
1000000000,0.67421204,0
1500000000,0.51678896,0
2000000000,0.40047839,0
2500000000,0.49717197,0
3000000000,0.30143696,0
3500000000,0.48710132,0
4000000000,0.53090489,0
4500000000,0.40227252,0
5000000000,0.3461113,0
5500000000,0.39770195,0
6000000000,0.49228516,0
6500000000,0.50063854,0
7000000000,0.55418766,0
7500000000,0.60136443,0
8000000000,0.66625017,0
8500000000,0.67206299,0
9000000000,0.80584943,0
9500000000,0.91745472,0
10000000000,0.99721265,0
END

