!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:10:05
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),NF(DB),NF(DEG)
1000000000,0.96283865,0
1500000000,0.63121814,0
2000000000,0.50095874,0
2500000000,0.48544607,0
3000000000,0.45859495,0
3500000000,0.40506068,0
4000000000,0.53355813,0
4500000000,0.41741684,0
5000000000,0.53951001,0
5500000000,0.50188124,0
6000000000,0.51740527,0
6500000000,0.58670533,0
7000000000,0.63782632,0
7500000000,0.67268294,0
8000000000,0.74526227,0
8500000000,0.7587859,0
9000000000,0.88396907,0
9500000000,1.081116,0
10000000000,1.0696017,0
END

