!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:07:10
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG),"Eq=kfac(S11,S21,S12,S22)"(DB),"Eq=kfac(S11,S21,S12,S22)"(DEG),"Eq=mu1(S11,S21,S12,S22)"(DB),"Eq=mu1(S11,S21,S12,S22)"(DEG),"Eq=mu2(S11,S21,S12,S22)"(DB),"Eq=mu2(S11,S21,S12,S22)"(DEG)
10000000,-0.49200037,-26.485889,-51.744175,-89.646629,-52.485188,44.670589,-0.10966828,-12.047033,-0.67771435,180,-0.87347078,0,-0.0023730972,180
51868750,-0.68518645,-32.998287,-28.134649,-29.873283,-53.265102,37.81255,-0.16658069,-14.353951,30.058584,0,0.041416172,0,0.73648423,0
93737500,-0.94504964,-40.636654,-19.581339,-55.698605,-54.041584,28.041061,-0.19665585,-17.102184,25.94479,0,0.0580571,0,0.5380795,0
135606250,-1.3013994,-49.633041,-14.716646,-70.425911,-54.776688,19.226215,-0.22815548,-20.245636,16.158831,0,0.078615829,0,0.35829097,0
177475000,-1.7839915,-60.323349,-11.160055,-82.529182,-55.783604,8.9527807,-0.26390857,-23.773577,24.612309,0,0.11149994,0,0.54519844,0
219343750,-2.40013,-73.211708,-8.5842495,-91.783073,-56.464138,-0.39765504,-0.3075318,-27.685362,19.305906,0,0.15946846,0,0.77602285,0
261212500,-3.0843182,-88.734032,-6.6352606,-97.10981,-57.076862,-12.620386,-0.3616083,-31.99243,36.793781,0,0.1849263,0,1.1259586,0
303081250,-3.7278891,-106.66716,-4.4199409,-93.65181,-57.474075,-24.538462,-0.42744818,-36.702229,22.170856,0,0.33098063,0,1.5772673,0
344950000,-4.2970762,-126.346,0.99637145,-96.030464,-57.93634,-36.311264,-0.50947577,-41.826267,29.170992,0,1.0135441,0,2.2794738,0
386818750,-4.8019876,-147.33498,0.10222565,-142.29688,-58.327606,-48.385773,-0.60937315,-47.388924,29.723806,0,0.89931214,0,3.1144543,0
428687500,-5.2161694,-168.71167,-3.553344,-104.74947,-57.365273,-57.312733,-0.72844225,-53.112762,29.611061,0,0.46346536,0,4.154974,0
470556250,-5.6162004,169.55913,2.539335,-79.437508,-56.170052,-57.923306,-0.87121427,-59.023811,24.581745,0,0.47029918,0,5.4183216,0
512425000,-6.0030303,147.8036,8.0653324,-83.291512,-55.335579,-69.316124,-1.0412824,-65.102669,25.878342,0,0.54633623,0,7.4399676,0
554293750,-6.376544,126.173,12.216758,-94.911118,-53.915916,-89.455475,-1.2451215,-71.394737,18.576542,0,0.63404524,0,8.9858704,0
596162500,-6.7366147,104.7319,15.368505,-109.1745,-52.956478,-109.03508,-1.4830505,-77.872696,16.161354,0,0.75151336,0,9.0607986,0
638031250,-7.077764,83.597076,17.816881,-123.67328,-51.003708,-121.74191,-1.7625104,-84.535942,11.84524,0,0.84762627,0,8.5937061,0
679900000,-7.3984842,62.870361,19.7432,-137.68378,-50.239601,-140.04736,-2.0768533,-91.339775,12.648889,0,1.1241465,0,8.6812134,0
721768750,-7.6864266,42.674671,21.308521,-150.97285,-49.400074,-154.82001,-2.3970706,-98.25042,11.262567,0,1.3481432,0,7.7929173,0
763637500,-7.9313989,23.081165,22.615,-163.3777,-48.606125,-164.42375,-2.7737241,-105.92845,9.7082024,0,1.5884017,0,6.7388568,0
805506250,-8.1222029,4.3173003,23.699362,-175.04825,-47.798512,-171.30293,-3.2287464,-113.71586,10.032773,0,1.9555774,0,6.3694367,0
847375000,-8.2279463,-13.346006,24.624781,173.88348,-47.02655,-179.58069,-3.7325237,-121.67878,8.692811,0,2.2445714,0,5.8005457,0
889243750,-8.2212181,-29.567062,25.416506,163.59966,-45.946262,173.46562,-4.2825556,-129.84967,7.8289986,0,2.5740364,0,5.3705359,0
931112500,-8.0915356,-43.822151,26.0737,153.69911,-45.193729,165.06602,-4.8722415,-138.24577,6.8082809,0,2.9124756,0,5.19976,0
972981250,-7.9035697,-55.650711,26.651556,144.4187,-44.517883,159.27446,-5.4899268,-146.86055,6.4633007,0,3.3650131,0,5.0393124,0
1014850000,-7.7696643,-65.264893,27.12002,135.69675,-43.980648,153.09773,-6.1350064,-155.71016,6.3541312,0,3.7883787,0,4.8930383,0
1056718750,-7.7189445,-73.310501,27.524193,127.31559,-43.369316,146.57613,-6.7960186,-164.79385,6.4436054,0,4.3767514,0,4.9904628,0
1098587500,-7.7415442,-80.225349,27.863098,119.51508,-42.82378,140.21111,-7.4601078,-174.08153,5.9904475,0,4.7603765,0,4.8393602,0
1140456250,-7.8227882,-86.308899,28.134619,112.04577,-42.342796,134.72104,-8.1143036,176.45786,5.8486276,0,5.2828646,0,4.85953,0
1182325000,-7.93681,-91.749527,28.372227,105.04591,-41.862564,129.58591,-8.7547083,166.90891,5.8018684,0,5.7531419,0,4.8569527,0
1224193750,-8.077096,-96.65992,28.545263,98.43013,-41.48341,124.74816,-9.362361,157.25223,5.3701739,0,6.1153398,0,4.7810144,0
1266062500,-8.2340736,-101.1366,28.701788,92.14286,-41.133686,120.53482,-9.9364939,147.57957,5.4004879,0,6.5418119,0,4.8032546,0
1307931250,-8.3985958,-105.24989,28.822746,86.295326,-40.906994,115.95821,-10.46144,137.9227,5.5374184,0,6.9916558,0,4.9082317,0
