!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:44:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG),"Eq=kfac(S11,S21,S12,S22)"(DB),"Eq=kfac(S11,S21,S12,S22)"(DEG),"Eq=mu1(S11,S21,S12,S22)"(DB),"Eq=mu1(S11,S21,S12,S22)"(DEG),"Eq=mu2(S11,S21,S12,S22)"(DB),"Eq=mu2(S11,S21,S12,S22)"(DEG)
10000000,-0.44779366,-26.709051,-56.807201,-114.34274,-57.172638,-138.91348,-0.15351367,-12.054618,24.590975,0,0.090495348,0,0.025102967,0
51868750,-0.60884637,-33.274811,-27.827707,-21.509134,-57.320988,-134.14635,-0.20458899,-14.34079,22.401003,0,0.0073154224,0,0.81565833,0
93737500,-0.82331771,-40.997532,-18.851355,-49.336166,-57.655376,-131.77115,-0.22568162,-17.069386,25.286871,0,0.043678593,0,0.55234307,0
135606250,-1.1160802,-50.142761,-13.877517,-66.529594,-58.083092,-127.95087,-0.24525447,-20.201368,20.861029,0,0.07750985,0,0.4486762,0
177475000,-1.5110899,-61.015247,-10.230804,-79.747162,-58.442219,-125.79144,-0.26907253,-23.718782,11.873225,0,0.061705552,0,0.34356725,0
219343750,-2.0142441,-74.022781,-7.6783252,-90.624504,-58.833588,-123.42133,-0.30034298,-27.613295,20.018822,0,0.13008881,0,0.70269901,0
261212500,-2.5815229,-89.452263,-5.9818668,-97.633354,-58.918438,-122.81727,-0.34141412,-31.905081,25.315826,0,0.14260115,0,0.94312632,0
303081250,-3.1411824,-107.13105,-4.4301867,-94.634293,-58.899815,-121.85989,-0.39351097,-36.598747,18.999447,0,0.26961437,0,1.2404289,0
344950000,-3.6569743,-126.5997,0.55907953,-88.940582,-58.826332,-121.08186,-0.46115589,-41.707443,22.750536,0,0.88688922,0,1.8341508,0
386818750,-4.1305618,-147.41002,1.0640359,-135.29105,-58.651493,-121.37005,-0.54402709,-47.25388,26.025949,0,0.89494663,0,2.5513091,0
428687500,-4.5246773,-168.68826,-3.1553569,-99.729721,-57.340317,-121.35301,-0.65394837,-52.973957,29.045975,0,0.42921463,0,3.4357243,0
470556250,-4.9143033,169.631,3.3549721,-71.475647,-55.981556,-123.25451,-0.78541893,-58.87307,25.232054,0,0.39761975,0,4.5712533,0
512425000,-5.2993469,147.89342,9.244977,-76.463951,-54.738815,-120.4735,-0.94252503,-64.944267,20.650799,0,0.44374475,0,5.7650104,0
554293750,-5.6783738,126.24027,13.553548,-89.555428,-53.817406,-115.68117,-1.1331841,-71.222145,19.688429,0,0.56239474,0,7.5598173,0
596162500,-6.0495343,104.76365,16.737673,-105.15205,-52.648861,-115.28219,-1.3564798,-77.685768,13.520649,0,0.62952691,0,7.3389144,0
638031250,-6.4112139,83.589882,19.166327,-120.70336,-51.208221,-121.44234,-1.6196322,-84.325294,11.39518,0,0.76197475,0,7.877645,0
679900000,-6.7606392,62.810005,21.045824,-135.35583,-50.49765,-138.32997,-1.9170482,-91.118263,10.493891,0,0.96759599,0,7.7802439,0
721768750,-7.089366,42.584949,22.55648,-149.0712,-49.948006,-153.5491,-2.223151,-98.002678,8.6694345,0,1.0928196,0,6.7792478,0
763637500,-7.3835249,22.975277,23.828096,-161.77022,-49.278423,-162.43359,-2.5776279,-105.69358,8.7862644,0,1.376213,0,6.1758523,0
805506250,-7.637692,4.2271433,24.877726,-173.59435,-48.383801,-169.44299,-3.0116196,-113.48794,8.0442514,0,1.6671987,0,6.08005,0
847375000,-7.8290782,-13.369081,25.781361,175.22261,-47.37772,-177.69296,-3.4974241,-121.4512,6.9803891,0,1.9133217,0,5.6425767,0
889243750,-7.9333258,-29.508034,26.561199,164.87177,-46.445213,175.04095,-4.0310249,-129.60042,7.0888634,0,2.313112,0,5.3484845,0
931112500,-7.9404688,-43.735641,27.205446,154.8773,-45.456703,167.44353,-4.6061759,-137.98625,6.4618254,0,2.6848769,0,5.3605781,0
972981250,-7.8983865,-55.757919,27.777359,145.52455,-44.794323,161.21559,-5.2147527,-146.59207,6.1231651,0,3.0624514,0,5.1365829,0
