!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:44:07
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),CompOut21(DB),CompOut21(DEG),DeltaGain21(DB),DeltaGain21(DEG)
1000000000,13.264172,93.724892,-4.999783,14.426382
1500000000,17.434145,0.36398306,-4.9999251,3.3437107
2000000000,18.133766,108.01552,-5.0005121,-5.061944
2500000000,18.371,-122.01936,-4.999898,-9.380908
3000000000,18.322229,39.626095,-4.9998231,-12.797584
3500000000,18.370222,-10.06658,-5.0004086,-14.410113
4000000000,18.357704,-71.002434,-4.9994946,-12.01619
4500000000,18.447182,-120.35306,-4.9996581,-13.347998
5000000000,18.640324,-173.34406,-4.9997201,-11.627899
5500000000,18.90169,7.8564157,-4.9997559,-10.514435
6000000000,19.17977,59.302765,-5.000391,-9.7343779
6500000000,19.119045,-23.095387,-5.0002575,-9.5096817
7000000000,19.078897,61.642853,-5.0007496,-7.7668471
7500000000,18.802216,125.3615,-5.0000324,-6.0888028
8000000000,18.934006,-150.65117,-4.9997902,-0.65237242
8500000000,18.617804,-118.51471,-5.0014224,2.0732918
9000000000,18.361031,-160.69136,-5.0000277,6.739727
9500000000,18.987608,42.963943,-4.9990773,10.892564
10000000000,19.017607,22.029287,-4.9997935,10.606649
END

