!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:43:16
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),OIP3(DB),OIP3(DEG)
1000000000,26.765472,0
1500000000,30.831587,0
2000000000,31.941614,0
2500000000,32.515537,0
3000000000,32.091015,0
3500000000,31.177645,0
4000000000,30.553604,0
4500000000,30.564972,0
5000000000,30.893358,0
5500000000,30.542475,0
6000000000,30.222759,0
6500000000,29.83185,0
7000000000,29.830688,0
7500000000,29.627621,0
8000000000,29.487215,0
8500000000,29.251938,0
9000000000,29.22904,0
9500000000,29.836956,0
10000000000,30.086311,0
END

