!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 16:03:53
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),CompOut21(DB),CompOut21(DEG),DeltaGain21(DB),DeltaGain21(DEG)
1000000000,15.44768,16.614899,-4.9998178,15.068613
1500000000,18.491087,144.98827,-4.9999046,5.1721921
2000000000,19.130064,-108.70818,-5.0004225,-1.4123057
2500000000,19.376148,-18.882591,-4.9999881,-3.8103611
3000000000,19.374195,116.07487,-4.9997921,-6.7428145
3500000000,19.36466,68.466751,-5.0002351,-6.8800778
4000000000,19.221685,0.12809269,-4.9992733,-4.9483285
4500000000,19.331547,-66.316109,-4.9985809,-7.1645498
5000000000,19.699282,-131.94835,-4.9993973,-7.9358592
5500000000,20.015032,127.13577,-4.9998155,-6.6756701
6000000000,20.311415,25.373709,-5.0004382,-5.4460649
6500000000,20.424623,-111.95561,-5.0002418,-5.1090584
7000000000,20.517622,-20.240232,-5.0004282,-5.1394196
7500000000,20.519321,50.502575,-5.0002837,-2.1976216
8000000000,20.946026,154.15678,-4.9999104,2.1217666
8500000000,20.269348,175.15648,-5,5.3556209
9000000000,19.99992,159.64806,-4.9990811,9.0318918
9500000000,20.614321,-46.82888,-4.999681,10.71736
10000000000,20.489794,-89.898224,-4.7662926,10.707638
END

