!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September, 01, 2025 16:04:38
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",19,,,,,,,
"Num Power Points:",33,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
1e+009,-7.67772,-76.5231,-30.9371,114.501,-3.82224,-109.871,27.1149,135.628,0,0,0,0
1e+009,-7.68835,-76.4658,-28.9851,-143.551,-1.87193,-7.90911,27.1132,135.642,-0.00174196,0.0137566,0,0
1e+009,-7.69085,-76.4243,-27.9822,-1.70052,-0.867756,133.934,27.1145,135.635,-0.000446297,0.00702336,0,0
1e+009,-7.70422,-76.3775,-26.9989,98.543,0.117963,-125.805,27.1168,135.652,0.00191359,0.0239449,0,0
1e+009,-7.70285,-76.2544,-26.0507,148.128,1.06955,-76.1975,27.1203,135.675,0.00537112,0.0469608,0,0
1e+009,-7.71036,-76.1619,-25.0792,114.557,2.03814,-109.741,27.1174,135.703,0.00247141,0.0746529,0,0
1e+009,-7.71117,-76.037,-24.0517,-144.988,3.06603,-9.2334,27.1177,135.755,0.00282272,0.126978,0,0
1e+009,-7.71584,-75.8692,-23.085,47.6271,4.02826,-176.575,27.1132,135.798,-0.00168032,0.169699,0,0
1e+009,-7.71326,-75.6285,-22.0886,148.104,5.01606,-76.0261,27.1047,135.87,-0.0102155,0.242038,0,0
1e+009,-7.70915,-75.3526,-21.0982,-161.964,5.98972,-25.9878,27.0879,135.976,-0.0269961,0.348373,0,0
1e+009,-7.69754,-75.076,-20.0997,21.9491,6.96714,158.029,27.0668,136.08,-0.0480789,0.451785,0,0
1e+009,-7.67478,-74.8019,-19.1112,-61.8686,7.91698,74.3047,27.0282,136.173,-0.0867215,0.545387,0,0
1e+009,-7.62622,-74.3473,-18.1103,-104.043,8.8472,32.3001,26.9575,136.343,-0.157397,0.715576,0,0
1e+009,-7.54385,-73.1254,-17.1203,38.3353,9.71409,175.103,26.8344,136.768,-0.280516,1.13964,0,0
1e+009,-7.42363,-70.3292,-16.1338,139.025,10.4986,-83.316,26.6324,137.659,-0.482546,2.03148,0,0
1e+009,-7.30147,-65.6654,-15.1503,105.81,11.1837,-115.146,26.334,139.043,-0.780907,3.41552,0,0
1e+009,-7.21279,-59.6289,-14.1636,-19.6592,11.788,121.04,25.9516,140.699,-1.16333,5.07119,0,0
1e+009,-7.16209,-53.0269,-13.1733,-52.8508,12.3379,89.5121,25.5112,142.363,-1.60374,6.735,0,0
1e+009,-7.12134,-46.2168,-12.1801,-44.3806,12.843,99.5962,25.0231,143.977,-2.09176,8.34892,0,0
1e+009,-7.07146,-39.4081,-11.1826,56.3479,13.3132,-158.127,24.4958,145.525,-2.61915,9.89696,0,0
1e+009,-7.00955,-32.9423,-10.1828,106.549,13.7756,-106.479,23.9583,146.972,-3.15657,11.3446,0,0
1e+009,-6.94973,-26.9868,-9.17828,115.178,14.2449,-96.5671,23.4231,148.255,-3.69177,12.6266,0,0
1e+009,-6.90073,-21.5934,-8.17306,123.842,14.7208,-86.8159,22.8939,149.342,-4.22102,13.7146,0,0
1e+009,-6.86627,-16.6846,-7.16422,40.3329,15.203,-169.401,22.3673,150.267,-4.74765,14.6387,0,0
1e+009,-6.84114,-12.19,-6.1512,40.1744,15.6901,-168.74,21.8413,151.086,-5.27366,15.4577,0,0
1e+009,-6.81909,-8.05416,-5.14803,-177.183,16.1641,-25.2767,21.3121,151.906,-5.80279,16.2786,0,0
1e+009,-6.79922,-4.12674,-4.14072,16.113,16.6149,168.915,20.7556,152.802,-6.35926,17.1745,0,0
1e+009,-6.76223,-0.184812,-3.13181,-150.593,17.0037,3.2622,20.1355,153.855,-6.97942,18.2272,0,0
1e+009,-6.6659,3.98953,-2.11794,167.677,17.2904,-37.1134,19.4084,155.209,-7.70656,19.5814,0,0
1e+009,-6.47686,8.70761,-1.09858,42.6326,17.394,-160.135,18.4926,157.233,-8.6223,21.6048,0,0
1e+009,-6.27273,14.2399,-0.0683353,143.723,17.1842,-56.08,17.2525,160.197,-9.86239,24.5696,0,0
1e+009,-5.61171,39.1624,1.10261,-115.209,7.24291,48.0634,6.1403,163.273,-20.9746,27.6449,0,0
1e+009,-5.70084,43.4041,2.15646,78.3031,4.27809,-116.724,2.12163,164.973,-24.9933,29.3449,0,0
1.5e+009,-9.97351,-123.884,-29.9557,-21.7262,-0.702603,39.2172,29.2531,60.9433,0,0,0,0
1.5e+009,-9.98383,-123.864,-28.5631,78.7466,0.69026,139.684,29.2533,60.9376,0.000189481,-0.00577497,0,0
1.5e+009,-9.98594,-123.83,-27.5956,-139.885,1.66027,-78.9381,29.2559,60.9469,0.00274977,0.00352084,0,0
1.5e+009,-9.98753,-123.792,-26.6347,-40.0336,2.62247,20.9304,29.2571,60.964,0.00398616,0.0206405,0,0
1.5e+009,-9.99364,-123.759,-25.6894,9.24341,3.56946,70.1921,29.2589,60.9487,0.00575323,0.00539566,0,0
1.5e+009,-10.0042,-123.727,-24.6916,-24.718,4.56913,36.2517,29.2608,60.9697,0.00761105,0.0263812,0,0
1.5e+009,-10.0097,-123.653,-23.6998,75.282,5.56418,136.258,29.264,60.9765,0.0108348,0.0331182,0,0
1.5e+009,-10.0139,-123.599,-22.7235,-92.4144,6.54217,-31.4163,29.2656,60.998,0.0124906,0.0547006,0,0
1.5e+009,-10.024,-123.5,-21.7292,7.64557,7.53899,68.6624,29.2682,61.0168,0.0150339,0.0734498,0,0
1.5e+009,-10.0347,-123.419,-20.7307,57.1736,8.53873,118.199,29.2694,61.0252,0.0162735,0.081838,0,0
1.5e+009,-10.0491,-123.296,-19.74,-119.37,9.53052,-58.3202,29.2705,61.0497,0.0173921,0.106335,0,0
1.5e+009,-10.0575,-123.132,-18.7407,156.451,10.5287,-142.471,29.2695,61.0773,0.0163127,0.133938,0,0
1.5e+009,-10.0657,-122.945,-17.7453,113.77,11.5202,174.885,29.2655,61.1144,0.0123497,0.171093,0,0
1.5e+009,-10.0732,-122.738,-16.7504,-104.234,12.5077,-43.0908,29.258,61.1436,0.00489797,0.200282,0,0
1.5e+009,-10.0771,-122.482,-15.7526,-3.93492,13.4899,57.2398,29.2425,61.1747,-0.010634,0.231383,0,0
1.5e+009,-10.0681,-122.218,-14.7583,-37.5014,14.455,23.6992,29.2133,61.2006,-0.0398191,0.257261,0,0
1.5e+009,-10.0232,-121.776,-13.7616,-163.237,15.3959,-101.979,29.1575,61.2579,-0.0956257,0.314541,0,0
1.5e+009,-9.89535,-120.56,-12.7671,163.323,16.2789,-135.181,29.046,61.496,-0.207122,0.55267,0,0
1.5e+009,-9.59607,-117.097,-11.7795,171.611,17.0332,-126.147,28.8127,62.2417,-0.440418,1.29832,0,0
1.5e+009,-9.06698,-109.328,-10.8041,-87.6748,17.557,-23.8136,28.3611,63.8612,-0.892045,2.9179,0,0
1.5e+009,-8.51402,-99.0424,-9.83983,-37.4671,17.8953,28.0888,27.7351,65.5559,-1.51805,4.61257,0,0
1.5e+009,-8.02663,-88.9459,-8.87707,-28.8603,18.1575,37.7717,27.0346,66.632,-2.21856,5.68871,0,0
1.5e+009,-7.54863,-79.3772,-7.91238,-20.3385,18.3499,46.8508,26.2623,67.1893,-2.99084,6.24597,0,0
1.5e+009,-7.07243,-70.4538,-6.94774,-104.05,18.4616,-36.8792,25.4094,67.1703,-3.84375,6.22697,0,0
1.5e+009,-6.61309,-62.2322,-5.97971,-104.439,18.4966,-37.9619,24.4763,66.4768,-4.77685,5.53348,0,0
1.5e+009,-6.19761,-54.8526,-5.01166,37.8101,18.4669,102.813,23.4786,65.003,-5.77456,4.05968,0,0
1.5e+009,-5.83867,-48.4067,-4.04268,-129.32,18.3781,-66.5209,22.4208,62.7995,-6.83232,1.85618,0,0
1.5e+009,-5.50965,-42.9413,-3.06935,63.4346,18.1985,123.705,21.2679,60.2703,-7.98528,-0.673053,0,0
1.5e+009,-5.09651,-37.8041,-2.09734,21.1727,17.6115,79.3744,19.7088,58.2017,-9.54435,-2.74161,0,0
1.5e+009,-4.74482,-33.2782,-1.12396,-104.471,16.6012,-46.3992,17.7251,58.0716,-11.528,-2.87173,0,0
1.5e+009,-4.0191,-14.1787,-0.189371,-4.34794,6.92164,55.0246,7.11101,59.3725,-22.1421,-1.57082,0,0
1.5e+009,-4.08775,-9.76486,0.81015,95.9398,2.40611,156.358,1.59596,60.4178,-27.6572,-0.525566,0,0
1.5e+009,-4.29734,-7.60376,1.82388,-71.5974,0.095731,-9.50516,-1.72815,62.0922,-30.9813,1.14888,0,0
2e+009,-11.5536,-150.155,-29.7398,-171.728,-0.388807,-152.655,29.351,19.0731,0,0,0,0
2e+009,-11.5609,-150.097,-28.5175,-72.1983,0.834176,-53.1354,29.3516,19.0628,0.000658489,-0.0103297,0,0
2e+009,-11.5567,-150.091,-27.5443,68.6952,1.80824,87.7728,29.3525,19.0776,0.0015653,0.00450255,0,0
2e+009,-11.5584,-150.14,-26.5668,168.065,2.78668,-172.853,29.3534,19.082,0.00245692,0.00883367,0,0
2e+009,-11.565,-150.072,-25.5935,-143.1,3.75959,-124.012,29.3531,19.088,0.00211437,0.0148688,0,0
2e+009,-11.5752,-150.032,-24.599,-177.637,4.75674,-158.536,29.3558,19.1011,0.00481057,0.0279569,0,0
