!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September, 01, 2025 15:05:33
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",19,,,,,,,
"Num Power Points:",30,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
1e+009,-6.95397,-69.5372,-30.8549,71.0154,-4.44437,-148.957,26.4105,140.028,0,0,0,0
1e+009,-6.9536,-69.4929,-29.0002,-145.604,-2.60131,-5.54443,26.3989,140.059,-0.0115997,0.0313343,0,0
1e+009,-6.94615,-69.4455,-28.0646,88.39,-1.66742,-131.526,26.3972,140.085,-0.0133476,0.05665,0,0
1e+009,-6.93833,-69.2986,-27.0607,-37.5041,-0.679142,102.588,26.3816,140.092,-0.0288935,0.0645876,0,0
1e+009,-6.93281,-69.2578,-26.0932,-71.1563,0.273274,68.969,26.3665,140.125,-0.0440128,0.0973826,0,0
1e+009,-6.92313,-69.2026,-25.1319,-155.404,1.21932,-15.2359,26.3513,140.168,-0.0592282,0.140529,0,0
1e+009,-6.91148,-69.1679,-24.1466,-13.3625,2.1752,126.8,26.3218,140.163,-0.0886632,0.1347,0,0
1e+009,-6.89454,-69.1467,-23.1605,128.735,3.12513,-91.0896,26.2856,140.175,-0.124874,0.147161,0,0
1e+009,-6.87209,-68.9692,-22.1825,95.2682,4.05259,-124.503,26.2351,140.229,-0.175396,0.200786,0,0
1e+009,-6.82522,-68.5393,-21.1948,145.185,4.96663,-74.4411,26.1614,140.374,-0.249079,0.345933,0,0
1e+009,-6.76597,-67.5592,-20.2022,102.961,5.85365,-116.332,26.0559,140.707,-0.354623,0.679321,0,0
1e+009,-6.68658,-65.6951,-19.2141,-73.1435,6.68585,68.1682,25.8999,141.312,-0.510551,1.28382,0,0
1e+009,-6.59131,-62.3171,-18.2215,-23.17,7.44713,119.186,25.6686,142.356,-0.741909,2.32804,0,0
1e+009,-6.5057,-57.4518,-17.2337,77.413,8.11657,-138.827,25.3503,143.76,-1.06019,3.73228,0,0
1e+009,-6.44788,-51.4964,-16.2465,-48.1768,8.71049,97.1706,24.957,145.347,-1.45353,5.31959,0,0
1e+009,-6.41322,-45.0226,-15.2495,-173.682,9.25584,-26.7424,24.5054,146.94,-1.90513,6.91208,0,0
1e+009,-6.3809,-38.4062,-14.2481,153.047,9.76898,-58.4977,24.0171,148.456,-2.39339,8.42771,0,0
1e+009,-6.33183,-31.9365,-13.2447,-14.0392,10.2725,135.835,23.5172,149.874,-2.89332,9.84631,0,0
1e+009,-6.2618,-25.8515,-12.2371,36.1217,10.7864,-172.721,23.0235,151.157,-3.38701,11.1295,0,0
1e+009,-6.18151,-20.3019,-11.2302,3.01673,11.3165,155.28,22.5467,152.264,-3.86377,12.2357,0,0
1e+009,-6.09011,-15.2632,-10.2234,-80.6366,11.8681,72.5936,22.0914,153.23,-4.31905,13.2024,0,0
1e+009,-5.98822,-10.7587,-9.21436,61.9351,12.4452,-143.963,21.6596,154.102,-4.75092,14.0741,0,0
1e+009,-5.87392,-6.77529,-8.20532,70.624,13.0488,-134.448,21.2541,154.928,-5.15635,14.9,0,0
1e+009,-5.75099,-3.24196,-7.1965,-146.759,13.6702,8.98448,20.8667,155.743,-5.54382,15.7152,0,0
1e+009,-5.62211,-0.0716394,-6.18432,129.794,14.2985,-73.6571,20.4829,156.549,-5.92765,16.5209,0,0
1e+009,-5.48557,2.80158,-5.1819,4.72243,14.9083,162.094,20.0902,157.371,-6.32034,17.3434,0,0
1e+009,-5.30267,5.86214,-4.17489,-120.347,15.4298,38.0666,19.6047,158.414,-6.80578,18.3858,0,0
1e+009,-4.98204,9.98804,-3.1627,22.3091,15.6557,-177.434,18.8184,160.257,-7.59208,20.229,0,0
1e+009,-4.5587,15.2207,-2.13717,123.302,15.4782,-73.5041,17.6154,163.193,-8.79511,23.1656,0,0
1e+009,-3.35264,41.8725,-0.919291,-1.88611,2.17303,163.838,3.09232,165.724,-23.3182,25.6962,0,0
1.5e+009,-9.05207,-118.684,-29.9235,-64.7552,-1.3268,-0.89309,28.5967,63.8621,0,0,0,0
1.5e+009,-9.047,-118.696,-28.613,77.1737,-0.0148518,141.072,28.5981,63.8984,0.00138882,0.0362793,0,0
1.5e+009,-9.04431,-118.617,-27.6429,-49.1372,0.951721,14.7621,28.5946,63.8993,-0.00213456,0.0372097,0,0
1.5e+009,-9.03703,-118.583,-26.6695,-175.404,1.92312,-111.504,28.5926,63.8992,-0.00410564,0.037061,0,0
1.5e+009,-9.03605,-118.479,-25.6831,150.543,2.90182,-145.528,28.5849,63.9294,-0.0118377,0.0673285,0,0
1.5e+009,-9.03192,-118.463,-24.7349,65.9742,3.84555,129.92,28.5805,63.9463,-0.0162362,0.0842323,0,0
1.5e+009,-9.02716,-118.372,-23.7592,-152.375,4.81307,-88.4238,28.5723,63.9515,-0.0244616,0.0893747,0,0
1.5e+009,-9.0154,-118.278,-22.758,-10.6684,5.8019,53.2966,28.5599,63.9649,-0.036797,0.102821,0,0
1.5e+009,-9.00423,-118.207,-21.7736,-44.497,6.77154,19.4907,28.5451,63.9876,-0.0516044,0.125536,0,0
1.5e+009,-8.98824,-118.074,-20.7873,4.97072,7.734,68.9893,28.5213,64.0186,-0.0753883,0.15649,0,0
1.5e+009,-8.96612,-117.977,-19.7948,-37.6615,8.69885,26.3534,28.4936,64.0149,-0.103087,0.152781,0,0
1.5e+009,-8.93278,-117.784,-18.7995,145.883,9.65375,-150.081,28.4533,64.0359,-0.143451,0.173755,0,0
1.5e+009,-8.88647,-117.451,-17.8033,-164.487,10.5927,-100.393,28.396,64.0941,-0.200759,0.231972,0,0
1.5e+009,-8.81146,-116.784,-16.8077,-64.1405,11.5104,0.0762288,28.3181,64.2167,-0.278623,0.354603,0,0
1.5e+009,-8.70297,-115.464,-15.8161,170.066,12.391,-125.464,28.2071,64.4698,-0.389638,0.607731,0,0
1.5e+009,-8.55187,-113.027,-14.8266,44.3702,13.2197,109.303,28.0463,64.9327,-0.550452,1.07056,0,0
1.5e+009,-8.35401,-108.892,-13.8405,10.9777,13.9716,76.6222,27.8122,65.6445,-0.784556,1.78244,0,0
1.5e+009,-8.1466,-102.954,-12.8615,-156.174,14.6262,-89.8001,27.4877,66.3736,-1.10901,2.51154,0,0
1.5e+009,-7.95083,-95.876,-11.8875,-106.104,15.1862,-39.4458,27.0737,66.6581,-1.52307,2.79597,0,0
1.5e+009,-7.71082,-88.0312,-10.9191,-139.292,15.6324,-72.844,26.5516,66.4485,-2.04517,2.5864,0,0
1.5e+009,-7.34766,-79.5021,-9.95241,136.87,15.9308,-157.17,25.8832,65.9602,-2.71352,2.09806,0,0
1.5e+009,-6.87271,-70.7012,-8.98891,-80.6707,16.0799,-15.4112,25.0688,65.2596,-3.52792,1.39745,0,0
1.5e+009,-6.34783,-62.2376,-8.02117,-72.206,16.1228,-8.07743,24.144,64.1286,-4.45274,0.266519,0,0
1.5e+009,-5.78546,-54.4654,-7.05517,70.1302,16.0715,132.639,23.1267,62.5087,-5.47003,-1.35337,0,0
1.5e+009,-5.14486,-47.2886,-6.08665,-13.6383,15.8547,46.9029,21.9414,60.5412,-6.65536,-3.32092,0,0
1.5e+009,-4.43856,-40.8534,-5.12389,-139.042,15.4066,-80.3718,20.5305,58.6707,-8.06623,-5.1914,0,0
