!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:05:33
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),CompOut21(DB),CompOut21(DEG),DeltaGain21(DB),DeltaGain21(DEG)
1000000000,12.83217,-137.8633,-4.9998384,14.580284
1500000000,16.094948,-127.22224,-4.9999304,-0.64060301
2000000000,16.496803,-141.9111,-5.0004058,-9.0636721
2500000000,16.740633,63.326271,-4.9999785,-12.393979
3000000000,16.729158,-173.10887,-4.9998865,-15.23226
3500000000,16.836861,126.93339,-5.0002913,-16.201567
4000000000,16.847219,48.14172,-4.9994793,-13.625463
4500000000,16.97233,-27.195402,-4.9993057,-14.29116
5000000000,17.150057,-90.810371,-4.9997792,-12.159913
5500000000,17.412161,65.837379,-4.9998994,-10.467237
6000000000,17.617954,86.119896,-5.0004325,-9.3011646
6500000000,17.577177,-126.40671,-5.0001163,-8.7487917
7000000000,17.573141,-49.744522,-5.0003619,-6.8418541
7500000000,17.25923,81.140488,-5.0000749,-3.9564576
8000000000,17.502785,-158.05669,-4.9999299,1.2777044
8500000000,17.215385,144.23087,-5.0004148,4.5212646
9000000000,17.083786,-10.589983,-4.9996524,8.5878105
9500000000,17.571745,-149.30176,-4.9999075,11.893626
10000000000,17.509176,24.240438,-4.9998713,11.684302
END

