!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 14:56:13
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),OIP3(DB),OIP3(DEG)
1000000000,18.203064,0
1500000000,24.595268,0
2000000000,26.746233,0
2500000000,27.372356,0
3000000000,27.532518,0
3500000000,27.412668,0
4000000000,27.667351,0
4500000000,27.446817,0
5000000000,28.122976,0
5500000000,28.129814,0
6000000000,27.846891,0
6500000000,27.402674,0
7000000000,27.441206,0
7500000000,27.406824,0
8000000000,27.740009,0
8500000000,28.682209,0
9000000000,28.936651,0
9500000000,30.293303,0
10000000000,29.366234,0
END

