!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:10:06
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),OIP3(DB),OIP3(DEG)
1000000000,23.020432,0
1500000000,28.652514,0
2000000000,30.455435,0
2500000000,31.549797,0
3000000000,31.251411,0
3500000000,30.431772,0
4000000000,30.030092,0
4500000000,29.923382,0
5000000000,30.137867,0
5500000000,29.572706,0
6000000000,29.067425,0
6500000000,28.676735,0
7000000000,28.764143,0
7500000000,28.316723,0
8000000000,28.098536,0
8500000000,27.409121,0
9000000000,27.180605,0
9500000000,27.777073,0
10000000000,28.358543,0
END

