!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September, 01, 2025 15:07:12
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",19,,,,,,,
"Num Power Points:",31,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
1e+009,-7.10286,-73.0083,-30.8552,118.708,-3.86295,-102.458,26.9922,138.834,0,0,0,0
1e+009,-7.10254,-72.9789,-29.064,-56.3121,-2.07319,82.5209,26.9908,138.833,-0.0014281,-0.000947306,0,0
1e+009,-7.10239,-72.8497,-28.0683,-48.3468,-1.07722,90.4881,26.991,138.835,-0.00119092,0.000929803,0,0
1e+009,-7.09874,-72.8122,-27.0762,51.8839,-0.0915878,-169.266,26.9846,138.851,-0.00763634,0.0166579,0,0
1e+009,-7.10171,-72.7241,-26.1404,18.1401,0.833537,157.036,26.9739,138.896,-0.0183367,0.0620644,0,0
1e+009,-7.08964,-72.5453,-25.141,160.073,1.81825,-60.9542,26.9593,138.973,-0.0329809,0.138608,0,0
1e+009,-7.0717,-72.4503,-24.1443,168.291,2.79701,-52.7172,26.9413,138.992,-0.050921,0.157923,0,0
1e+009,-7.05753,-72.308,-23.1749,84.1978,3.7413,-136.767,26.9162,139.036,-0.0760318,0.201624,0,0
1e+009,-7.03792,-72.2228,-22.1834,50.812,4.69518,-170.098,26.8786,139.09,-0.113677,0.256485,0,0
1e+009,-7.00927,-72.0806,-21.2048,151.291,5.6226,-69.5681,26.8274,139.141,-0.164867,0.306833,0,0
1e+009,-6.95695,-71.7439,-20.2042,-117.042,6.54696,22.2309,26.7511,139.273,-0.241116,0.439103,0,0
1e+009,-6.89256,-70.8575,-19.2088,-67.03,7.4279,72.5477,26.6367,139.578,-0.355566,0.743764,0,0
1e+009,-6.79468,-68.8953,-18.2143,158.56,8.25337,-61.2318,26.4677,140.208,-0.524523,1.37443,0,0
1e+009,-6.68911,-65.3335,-17.2284,33.0397,8.99028,174.352,26.2187,141.312,-0.773518,2.4781,0,0
1e+009,-6.59918,-60.1243,-16.2441,-92.4673,9.63745,50.3376,25.8815,142.805,-1.11071,3.97097,0,0
1e+009,-6.5489,-53.8507,-15.2527,142.009,10.2136,-73.5182,25.4663,144.473,-1.52595,5.63919,0,0
1e+009,-6.51827,-47.1433,-14.258,16.529,10.7426,162.639,25.0006,146.11,-1.99163,7.27561,0,0
1e+009,-6.49033,-40.3413,-13.2567,158.855,11.2406,-53.4796,24.4972,147.665,-2.495,8.8315,0,0
1e+009,-6.4449,-33.729,-12.2537,167.299,11.7286,-43.5757,23.9823,149.125,-3.00997,10.2909,0,0
1e+009,-6.37933,-27.5492,-11.2479,41.9554,12.2282,-167.599,23.4761,150.446,-3.51616,11.6118,0,0
1e+009,-6.30598,-21.8889,-10.2412,92.187,12.7436,-116.225,22.9849,151.588,-4.00736,12.7539,0,0
1e+009,-6.22678,-16.768,-9.23247,-33.0289,13.2784,119.526,22.5109,152.555,-4.48138,13.7211,0,0
1e+009,-6.14033,-12.1972,-8.2227,58.979,13.8359,-147.612,22.0586,153.409,-4.93368,14.5748,0,0
1e+009,-6.03917,-8.16905,-7.21274,-66.1825,14.4158,88.0224,21.6286,154.205,-5.36368,15.371,0,0
1e+009,-5.93038,-4.61425,-6.20019,-108.037,15.0095,46.9394,21.2097,154.977,-5.78252,16.1426,0,0
1e+009,-5.81925,-1.42349,-5.19762,34.6897,15.5936,-169.573,20.7912,155.737,-6.20102,16.9033,0,0
1e+009,-5.7012,1.66967,-4.19135,1.81527,16.1531,158.368,20.3444,156.553,-6.64783,17.7187,0,0
1e+009,-5.52272,5.1471,-3.18148,-123.236,16.5941,34.4494,19.7756,157.686,-7.21665,18.8517,0,0
1e+009,-5.18686,9.88848,-2.16257,-22.2088,16.7053,137.599,18.8679,159.807,-8.12432,20.9734,0,0
1e+009,-4.80502,15.742,-1.12915,-13.3977,16.3872,149.732,17.5164,163.13,-9.47588,24.2962,0,0
1e+009,-3.87255,42.6444,0.0909902,-46.2762,2.44591,119.154,2.35491,165.431,-24.6373,26.5967,0,0
1.5e+009,-9.29638,-122.137,-29.9868,-17.3792,-0.838406,45.6978,29.1484,63.077,0,0,0,0
1.5e+009,-9.30576,-122.053,-28.639,166.299,0.508248,-130.624,29.1472,63.0778,-0.0011412,0.00086381,0,0
1.5e+009,-9.29901,-122.009,-27.6902,173.816,1.46403,-123.09,29.1542,63.0938,0.00582716,0.0168074,0,0
1.5e+009,-9.30817,-121.954,-26.7175,-86.3616,2.43341,-23.2844,29.1509,63.0772,0.00249417,0.00024032,0,0
1.5e+009,-9.30134,-121.945,-25.7169,-120.324,3.43188,-57.2156,29.1488,63.1083,0.000383095,0.0312662,0,0
1.5e+009,-9.30386,-121.865,-24.762,21.1957,4.38595,84.3344,29.148,63.1388,-0.000377952,0.061806,0,0
1.5e+009,-9.30261,-121.759,-23.7661,29.0028,5.37834,92.1414,29.1444,63.1386,-0.0039292,0.0616439,0,0
1.5e+009,-9.30081,-121.673,-22.7675,-55.4381,6.37025,7.73299,29.1377,63.1711,-0.0106563,0.0941201,0,0
