!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:12:36
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),NF(DB),NF(DEG)
1000000000,1.1529634,0
1500000000,0.82989597,0
2000000000,0.70920861,0
2500000000,0.70049924,0
3000000000,0.64681429,0
3500000000,0.63545877,0
4000000000,0.69266623,0
4500000000,0.64412671,0
5000000000,0.65583718,0
5500000000,0.62071621,0
6000000000,0.6347118,0
6500000000,0.70506895,0
7000000000,0.76446229,0
7500000000,0.86619556,0
8000000000,0.85812622,0
8500000000,0.91594017,0
9000000000,1.0473355,0
9500000000,1.1434852,0
10000000000,1.1737975,0
END

