!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:45:53
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),NF(DB),NF(DEG)
1000000000,0.8682766,0
1500000000,0.44250354,0
2000000000,0.32363936,0
2500000000,0.28789079,0
3000000000,0.25177222,0
3500000000,0.17880511,0
4000000000,0.37618452,0
4500000000,0.18903634,0
5000000000,0.2907688,0
5500000000,0.13542548,0
6000000000,0.23087816,0
6500000000,0.23893446,0
7000000000,0.30298954,0
7500000000,0.3411366,0
8000000000,0.32531181,0
8500000000,0.3953189,0
9000000000,0.50485462,0
9500000000,0.60254258,0
10000000000,0.61607885,0
END

