!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September, 01, 2025 15:44:44
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",19,,,,,,,
"Num Power Points:",32,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
1e+009,-7.24776,-74.0676,-31.1372,-114.109,-2.99534,25.7237,28.1419,139.833,0,0,0,0
1e+009,-7.23629,-73.8997,-29.1882,163.398,-1.05642,-56.7039,28.1318,139.898,-0.0100946,0.0651641,0,0
1e+009,-7.23032,-73.8333,-28.0828,-54.5527,0.0334126,85.3846,28.1162,139.937,-0.0256817,0.104732,0,0
1e+009,-7.21447,-73.6846,-27.1129,-138.867,0.989833,1.13491,28.1027,140.002,-0.0391606,0.168946,0,0
1e+009,-7.19405,-73.5451,-26.1461,-172.471,1.93954,-32.4139,28.0857,140.057,-0.0561705,0.224184,0,0
1e+009,-7.16239,-73.389,-25.1578,-72.1308,2.89939,68.0203,28.0572,140.151,-0.0846123,0.318473,0,0
1e+009,-7.12353,-73.2292,-24.1718,162.102,3.84803,-57.662,28.0198,140.236,-0.12204,0.40308,0,0
1e+009,-7.07357,-73.0741,-23.1719,78.1019,4.79339,-141.58,27.9653,140.318,-0.176585,0.485325,0,0
1e+009,-7.00676,-72.9246,-22.2095,-139.83,5.68156,0.593728,27.8911,140.423,-0.250765,0.590765,0,0
1e+009,-6.91382,-72.5588,-21.2012,2.42144,6.5852,143.016,27.7864,140.595,-0.355488,0.762299,0,0
1e+009,-6.80285,-71.7237,-20.2142,52.395,7.43174,-166.675,27.646,140.93,-0.495873,1.09741,0,0
1e+009,-6.66659,-70.0983,-19.2235,-31.4437,8.23389,110.047,27.4574,141.491,-0.684465,1.65861,0,0
1e+009,-6.52424,-67.1256,-18.234,18.5582,8.96629,161.011,27.2003,142.453,-0.94155,2.62023,0,0
1e+009,-6.39638,-62.516,-17.2502,119.135,9.60979,-97.047,26.86,143.818,-1.28187,3.98495,0,0
1e+009,-6.30204,-56.5775,-16.2645,127.443,10.1743,-87.0991,26.4388,145.457,-1.70308,5.62488,0,0
1e+009,-6.24442,-50.0307,-15.2727,1.92796,10.6849,149.057,25.9576,147.129,-2.18425,7.29689,0,0
1e+009,-6.20593,-43.2589,-14.2756,-81.9184,11.159,66.8202,25.4346,148.739,-2.70725,8.90596,0,0
1e+009,-6.15544,-36.5879,-13.2746,152.648,11.6136,-57.077,24.8882,150.275,-3.25367,10.4427,0,0
1e+009,-6.0875,-30.3078,-12.2693,110.524,12.0784,-97.7869,24.3477,151.689,-3.79415,11.8563,0,0
1e+009,-6.01392,-24.5826,-11.2649,119.089,12.5607,-87.9955,23.8257,152.916,-4.3162,13.0833,0,0
1e+009,-5.93951,-19.4152,-10.2607,169.343,13.0647,-36.7077,23.3254,153.949,-4.81645,14.1164,0,0
1e+009,-5.8683,-14.7698,-9.25242,-6.45288,13.597,148.347,22.8494,154.8,-5.29244,14.9676,0,0
1e+009,-5.79289,-10.6774,-8.24557,177.762,14.1591,-26.7081,22.4047,155.53,-5.73717,15.6978,0,0
1e+009,-5.71021,-7.1151,-7.2386,2.06882,14.7487,158.256,21.9873,156.187,-6.15455,16.3545,0,0
1e+009,-5.62493,-3.98704,-6.22882,-173.629,15.3608,-16.8258,21.5897,156.804,-6.55219,16.971,0,0
1e+009,-5.5498,-1.16928,-5.22824,-72.6085,15.9781,84.7823,21.2063,157.391,-6.93556,17.5582,0,0
1e+009,-5.4811,1.50647,-4.22612,28.4367,16.5912,-173.594,20.8173,157.969,-7.32455,18.1363,0,0
1e+009,-5.34213,4.60485,-3.22155,-4.39091,17.1057,154.435,20.3272,158.825,-7.81465,18.9929,0,0
1e+009,-4.96531,9.22921,-2.20786,-37.2385,17.3012,123.536,19.5091,160.775,-8.63276,20.9421,0,0
1e+009,-4.39017,15.9405,-1.17658,-120.776,16.9333,43.9603,18.1099,164.736,-10.032,24.9035,0,0
1e+009,-3.2782,44.1161,0.0629248,72.421,0.673541,-121.354,0.610617,166.225,-27.5312,26.3922,0,0
1e+009,-3.55435,45.9711,1.08218,-144.652,-1.47963,23.29,-2.56182,167.942,-30.7037,28.1094,0,0
1.5e+009,-9.88386,-124.434,-30.102,109.587,0.13506,172.919,30.2371,63.3318,0,0,0,0
1.5e+009,-9.88082,-124.573,-28.7439,25.4785,1.48948,88.8356,30.2333,63.3571,-0.00370949,0.0252627,0,0
1.5e+009,-9.8699,-124.518,-27.6729,167.145,2.55905,-129.491,30.2319,63.3639,-0.00515048,0.0320905,0,0
1.5e+009,-9.86236,-124.529,-26.7455,82.4407,3.48562,145.836,30.2311,63.3956,-0.0059493,0.0637976,0,0
1.5e+009,-9.85373,-124.423,-25.7512,48.4697,4.4788,111.873,30.23,63.4031,-0.00704385,0.0713035,0,0
1.5e+009,-9.83652,-124.366,-24.7712,148.429,5.45219,-148.146,30.2234,63.4256,-0.0136499,0.0937822,0,0
1.5e+009,-9.81656,-124.319,-23.7737,22.3,6.44581,85.7706,30.2195,63.4707,-0.0176011,0.13886,0,0
1.5e+009,-9.78763,-124.266,-22.7842,-62.1048,7.42457,1.41963,30.2088,63.5244,-0.0282728,0.192593,0,0
1.5e+009,-9.75074,-124.153,-21.8001,79.6402,8.39285,143.229,30.1929,63.5887,-0.0441203,0.256907,0,0
1.5e+009,-9.69187,-124.023,-20.805,-138.605,9.36445,-74.9336,30.1695,63.6709,-0.0675825,0.339117,0,0
