!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:44:44
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),CompOut21(DB),CompOut21(DEG),DeltaGain21(DB),DeltaGain21(DEG)
1000000000,13.285389,40.012993,-4.9997735,14.399678
1500000000,17.433752,58.720898,-4.9999185,3.3097284
2000000000,18.131178,126.85426,-5.0004954,-5.0831738
2500000000,18.365229,175.18324,-4.9998956,-9.412178
3000000000,18.31938,101.72172,-4.9998207,-12.838504
3500000000,18.36698,61.895645,-5.0004067,-14.442919
4000000000,18.35284,19.530416,-4.9995198,-12.039812
4500000000,18.447323,-2.8273051,-4.9997454,-13.341181
5000000000,18.634329,-36.377598,-4.9996653,-11.697551
5500000000,18.892475,-169.46587,-4.9997559,-10.566936
6000000000,19.169186,-61.942753,-5.0003572,-9.7547474
6500000000,19.114021,36.333431,-5.0002527,-9.5068884
7000000000,19.068911,-45.436913,-5.0007453,-7.8065691
7500000000,18.790644,-75.754623,-5.0000134,-6.0828819
8000000000,18.927061,-9.0425596,-4.9997621,-0.66122329
8500000000,18.612127,3.469975,-5.0015125,2.0837765
9000000000,18.362467,137.651,-5.0000391,6.763391
9500000000,18.981699,-100.95035,-4.9991336,10.911241
10000000000,19.016811,-24.746492,-4.9997597,10.635682
END

