!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 16:03:51
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG),"Eq=kfac(S11,S21,S12,S22)"(DB),"Eq=kfac(S11,S21,S12,S22)"(DEG),"Eq=mu1(S11,S21,S12,S22)"(DB),"Eq=mu1(S11,S21,S12,S22)"(DEG),"Eq=mu2(S11,S21,S12,S22)"(DB),"Eq=mu2(S11,S21,S12,S22)"(DEG)
10000000,-0.59331948,-26.367348,-51.094845,56.44175,-55.631756,70.220695,-0.17723641,-12.202682,3.4985933,0,0.0074032857,0,0.0092955325,0
51868750,-0.81861359,-32.778862,-27.092819,-34.151787,-55.978127,32.100266,-0.23179504,-14.507128,51.968395,0,0.076933101,0,0.82003564,0
93737500,-1.123509,-40.269394,-19.272659,-59.233093,-56.417202,-4.7551761,-0.26516289,-17.252029,25.639309,0,0.12167733,0,0.55264032,0
135606250,-1.5454227,-49.05685,-14.585445,-72.837593,-57.183731,-45.873615,-0.29994366,-20.389898,25.441561,0,0.16458125,0,0.51183999,0
177475000,-2.1297188,-59.458839,-10.991808,-83.285378,-57.621445,-86.672714,-0.3412196,-23.916843,30.886433,0,0.21245731,0,0.67194235,0
219343750,-2.9053447,-72.159859,-8.2731953,-91.154533,-57.950954,-129.0089,-0.39116767,-27.815487,33.689796,0,0.25206438,0,0.94465894,0
261212500,-3.7706056,-88.005028,-5.9941111,-95.323357,-58.37064,-170.84775,-0.45329854,-32.113014,23.293797,0,0.27490291,0,1.3874842,0
303081250,-4.5429559,-106.55198,-3.1615965,-92.994179,-58.668808,146.82611,-0.52807969,-36.810322,27.722267,0,0.42387035,0,1.8757896,0
344950000,-5.1960902,-126.82143,2.5324206,-102.48083,-58.764885,104.40635,-0.61981905,-41.92268,26.489096,0,1.1505787,0,2.6596167,0
386818750,-5.763135,-148.27483,0.58967638,-147.70634,-58.921803,61.576382,-0.73019147,-47.46534,28.250856,0,0.90642601,0,3.6633139,0
428687500,-6.2269344,-170.0435,-2.5005059,-110.08692,-56.971401,25.232061,-0.86123717,-53.182095,30.550629,0,0.56371856,0,4.908896,0
470556250,-6.6681538,167.89433,3.1846387,-87.593689,-56.174156,-10.258075,-1.0167996,-59.081013,32.072788,0,0.59249765,0,6.8276052,0
512425000,-7.0914607,145.85252,8.3726969,-91.063972,-55.213284,-44.15033,-1.201071,-65.147316,23.474604,0,0.66364396,0,8.6015406,0
554293750,-7.4964924,123.95029,12.348654,-101.83801,-53.808022,-71.629311,-1.4208688,-71.420372,19.633036,0,0.76730382,0,10.341003,0
596162500,-7.8839202,102.26363,15.396793,-115.21239,-52.297295,-103.84692,-1.6771178,-77.875786,20.045134,0,0.9727661,0,12.590565,0
638031250,-8.2498922,80.907143,17.802856,-128.97734,-51.467224,-126.18552,-1.9774561,-84.496826,16.942123,0,1.1303658,0,11.6035,0
679900000,-8.5894928,59.949596,19.725191,-142.34889,-50.496895,-142.71077,-2.3161252,-91.264854,13.056897,0,1.2996773,0,9.9245853,0
721768750,-8.8877735,39.519958,21.28628,-155.23448,-49.815865,-157.85625,-2.6586249,-98.164452,13.587163,0,1.6037729,0,8.8754663,0
763637500,-9.135891,19.648108,22.604324,-167.39114,-49.174587,-166.66609,-3.0677338,-105.77736,11.190218,0,1.8469068,0,7.7018776,0
805506250,-9.3163929,0.57330042,23.688223,-178.84557,-48.35001,-176.7733,-3.5536489,-113.49006,10.389018,0,2.1939886,0,7.054059,0
847375000,-9.3923883,-17.464643,24.605785,170.22266,-47.213535,176.89873,-4.0920658,-121.39402,10.02704,0,2.5882974,0,6.547792,0
