!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 16:04:38
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),CompOut21(DB),CompOut21(DEG),DeltaGain21(DB),DeltaGain21(DEG)
1000000000,15.443732,-169.07413,-4.9998183,15.059295
1500000000,18.489832,-5.9256477,-4.9999037,5.1914339
2000000000,19.132721,-174.54976,-5.0004201,-1.3775212
2500000000,19.377832,48.142403,-4.9999847,-3.8528094
3000000000,19.376696,119.287,-4.9997911,-6.7257271
3500000000,19.367289,74.024788,-5.0002403,-6.8824191
4000000000,19.224318,6.9155807,-4.9992552,-4.9940057
4500000000,19.331436,-86.421143,-4.9985867,-7.167336
5000000000,19.699331,173.61128,-4.9994249,-7.9406681
5500000000,20.01782,40.190823,-4.9998121,-6.6859174
6000000000,20.312683,-171.89299,-5.0004206,-5.4422007
6500000000,20.428011,143.80862,-5.0002389,-5.0993972
7000000000,20.521496,-140.22113,-5.0004106,-5.1474261
7500000000,20.521212,-45.452923,-5.0002847,-2.2059412
8000000000,20.947372,17.345684,-4.9999228,2.1401367
8500000000,20.27108,51.124355,-5.0000086,5.3735189
9000000000,20.000542,-28.36175,-4.999073,9.0123234
9500000000,20.617901,-8.0659809,-4.9996862,10.713144
10000000000,20.524096,-126.51305,-5.0001006,10.793324
END

