!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:05:32
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),OIP3(DB),OIP3(DEG)
1000000000,19.261395,0
1500000000,25.07107,0
2000000000,27.297689,0
2500000000,28.594282,0
3000000000,28.890526,0
3500000000,28.863693,0
4000000000,28.69199,0
4500000000,28.921572,0
5000000000,29.305262,0
5500000000,28.959126,0
6000000000,28.46283,0
6500000000,28.260788,0
7000000000,28.371988,0
7500000000,28.27523,0
8000000000,28.127953,0
8500000000,27.486696,0
9000000000,26.948921,0
9500000000,28.446825,0
10000000000,28.764914,0
END

