!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:10:06
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),CompOut21(DB),CompOut21(DEG),DeltaGain21(DB),DeltaGain21(DEG)
1000000000,14.960812,7.8114347,-4.9998717,14.977944
1500000000,18.103922,86.484245,-4.9998789,3.5903163
2000000000,18.811264,-159.19064,-5.0000381,-3.9769111
2500000000,19.0292,-6.3426108,-4.9998722,-7.2479305
3000000000,19.030577,143.58502,-4.9998369,-10.298635
3500000000,19.021591,92.71244,-5.0002303,-10.773864
4000000000,18.911787,24.950108,-4.9995031,-8.4313774
4500000000,19.021404,-30.742207,-4.9999046,-9.9572878
5000000000,19.331112,-64.443687,-4.9992247,-9.805562
5500000000,19.620644,169.50784,-4.9997802,-8.4208241
6000000000,19.893253,-86.796066,-5.0001006,-7.3303442
6500000000,19.930573,154.6947,-5.0001664,-7.1301565
7000000000,19.974745,-117.18079,-5.0002589,-6.4851928
7500000000,19.843235,-47.178314,-5.0003109,-4.0927777
8000000000,20.152472,46.118538,-4.9998102,1.1508027
8500000000,19.621809,72.360329,-5.0006065,4.061676
9000000000,19.340361,1.0323553,-4.998642,8.0733395
9500000000,19.972057,24.683317,-4.9997935,10.977841
10000000000,19.919619,17.433041,-5.0000005,10.942194
END

