!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:44:43
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),OIP3(DB),OIP3(DEG)
1000000000,20.883991,0
1500000000,27.57465,0
2000000000,29.489527,0
2500000000,30.547421,0
3000000000,30.607836,0
3500000000,30.050747,0
4000000000,29.540613,0
4500000000,29.562935,0
5000000000,30.055838,0
5500000000,29.549023,0
6000000000,28.962179,0
6500000000,28.686968,0
7000000000,28.876314,0
7500000000,28.498411,0
8000000000,28.254084,0
8500000000,27.402943,0
9000000000,27.087593,0
9500000000,27.825584,0
10000000000,28.396467,0
END

