!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 16:01:52
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),CompOut21(DB),CompOut21(DEG),DeltaGain21(DB),DeltaGain21(DEG)
1000000000,11.310793,50.67947,-4.9998536,14.822931
1500000000,14.313811,-95.649017,-5.0000134,-2.4029343
2000000000,14.542684,54.174492,-5.0000782,-10.76482
2500000000,14.770794,106.99524,-4.9999208,-13.62245
3000000000,14.809484,70.136009,-4.9999452,-16.484552
3500000000,14.949272,26.728977,-5.0001755,-17.310984
4000000000,15.015967,-15.492436,-4.9999619,-14.709869
4500000000,15.131284,-60.115181,-4.9996209,-14.880833
5000000000,15.304318,-108.87426,-4.9996595,-12.749544
5500000000,15.54991,103.24135,-4.9999194,-10.710918
6000000000,15.749159,178.285,-5.0000629,-9.2949247
6500000000,15.737012,57.931206,-5.0000348,-8.4179029
7000000000,15.777961,169.37303,-5.0000458,-6.9411898
7500000000,15.465197,-32.493568,-5.0000648,-3.2193985
8000000000,15.791298,-22.441048,-4.9999928,1.6723586
8500000000,15.494742,-3.0063441,-5.0000901,5.4981966
9000000000,15.431199,-103.27309,-4.999752,9.5227776
9500000000,15.845345,32.476273,-4.9999723,11.639651
10000000000,15.687774,-175.12698,-4.9999471,11.319805
END

