!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 16:01:51
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG),"Eq=kfac(S11,S21,S12,S22)"(DB),"Eq=kfac(S11,S21,S12,S22)"(DEG),"Eq=mu1(S11,S21,S12,S22)"(DB),"Eq=mu1(S11,S21,S12,S22)"(DEG),"Eq=mu2(S11,S21,S12,S22)"(DB),"Eq=mu2(S11,S21,S12,S22)"(DEG)
10000000,-0.56778175,-26.743031,-58.458347,52.650017,-58.953941,4.7357574,-0.27301091,-12.130674,28.755974,0,0.077451363,0,0.031754944,0
51868750,-0.78468895,-33.169704,-29.608269,-40.743679,-58.922413,-3.0748775,-0.33054557,-14.446889,39.386452,0,0.18034254,0,0.71879095,0
93737500,-1.0770831,-40.677612,-22.035583,-61.936592,-59.140804,-11.397821,-0.36613539,-17.204758,38.14307,0,0.27258912,0,0.51414573,0
135606250,-1.4733717,-49.486755,-17.342426,-74.088036,-59.165909,-22.732349,-0.40441737,-20.358932,48.602421,0,0.34984621,0,0.52486557,0
177475000,-2.000258,-59.889408,-13.808088,-83.724243,-59.204975,-33.844124,-0.45070297,-23.894131,33.235542,0,0.40137532,0,0.63118678,0
219343750,-2.6673839,-72.386055,-11.189642,-91.133003,-59.157372,-45.586773,-0.50524962,-27.802769,41.285202,0,0.43602291,0,0.95047742,0
261212500,-3.4064839,-87.456367,-8.94491,-94.625267,-59.420216,-57.430511,-0.57117325,-32.106907,30.41683,0,0.41719064,0,1.305041,0
303081250,-4.1024384,-104.89835,-6.1614752,-91.754128,-59.354034,-69.356552,-0.64878887,-36.803608,41.947018,0,0.56535429,0,1.8989716,0
344950000,-4.7155933,-124.09536,-0.55740476,-100.47626,-59.074726,-81.974937,-0.74197084,-41.91581,29.383171,0,1.2360133,0,2.6469243,0
386818750,-5.2563868,-144.56111,-2.3857059,-144.93944,-58.764202,-94.486542,-0.85275966,-47.471046,31.303654,0,1.0194529,0,3.5730696,0
428687500,-5.7041454,-165.45766,-5.5244875,-107.42446,-58.000614,-97.858566,-0.98053187,-53.179276,36.772854,0,0.66854465,0,4.8583417,0
470556250,-6.1303673,173.34061,0.12279175,-84.417862,-56.891872,-97.926796,-1.1302528,-59.072258,29.549248,0,0.69477689,0,6.3113484,0
512425000,-6.5345669,152.13338,5.2863612,-87.18959,-54.891865,-101.71053,-1.3073647,-65.161659,26.866905,0,0.81490612,0,8.1683292,0
554293750,-6.9204903,131.03368,9.2996569,-97.064377,-53.742302,-98.844208,-1.5185083,-71.474792,23.083151,0,0.92439795,0,9.8587189,0
596162500,-7.284481,110.13205,12.423791,-109.76114,-52.135582,-105.64676,-1.7667804,-77.988098,26.831717,0,1.1440542,0,11.765529,0
638031250,-7.625926,89.545181,14.940491,-123.05206,-51.160755,-121.25254,-2.0604205,-84.679153,19.872698,0,1.2724924,0,10.857258,0
