!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 16:02:41
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),NF(DB),NF(DEG)
1000000000,1.3395536,0
1500000000,0.82355636,0
2000000000,0.60172594,0
2500000000,0.53992605,0
3000000000,0.54866797,0
3500000000,0.49476945,0
4000000000,0.6693266,0
4500000000,0.49147388,0
5000000000,0.62160379,0
5500000000,0.6043849,0
6000000000,0.64200604,0
6500000000,0.66825122,0
7000000000,0.71487463,0
7500000000,0.82754964,0
8000000000,0.84551233,0
8500000000,0.95037967,0
9000000000,1.0558655,0
9500000000,1.251639,0
10000000000,1.2843636,0
END

