!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:07:11
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),OIP3(DB),OIP3(DEG)
1000000000,20.475952,0
1500000000,26.357876,0
2000000000,28.399744,0
2500000000,29.844271,0
3000000000,29.934315,0
3500000000,29.809502,0
4000000000,29.430376,0
4500000000,29.399937,0
5000000000,29.884449,0
5500000000,29.41021,0
6000000000,28.822975,0
6500000000,28.596922,0
7000000000,28.708267,0
7500000000,28.135916,0
8000000000,27.92016,0
8500000000,27.31332,0
9000000000,26.927248,0
9500000000,27.739832,0
10000000000,28.090313,0
END

