!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:12:37
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),CompOut21(DB),CompOut21(DEG),DeltaGain21(DB),DeltaGain21(DEG)
1000000000,15.873905,1.7600443,-4.9998169,15.112753
1500000000,18.917284,139.99716,-4.999917,4.9954972
2000000000,19.627434,-126.65472,-5.0005169,-2.1870995
2500000000,19.909458,-41.057919,-4.9999485,-5.3281574
3000000000,19.915491,75.955544,-4.9997225,-8.6658831
3500000000,19.88365,31.154789,-5.0003223,-9.1265869
4000000000,19.722734,-34.308781,-4.9990635,-6.9056506
4500000000,19.817818,-108.31483,-4.9983554,-8.8452396
5000000000,20.186922,173.85257,-4.9993839,-9.1443424
5500000000,20.487915,21.82135,-4.9997802,-7.8603482
6000000000,20.77294,126.70702,-5.000586,-6.7951517
6500000000,20.844221,-71.088425,-5.0002909,-6.5784297
7000000000,20.900225,1.0298911,-5.0006347,-6.2044716
7500000000,20.828945,134.88748,-5.000186,-3.8078032
8000000000,21.166359,176.79317,-4.9996085,1.3185619
8500000000,20.501871,-129.03049,-5.0001125,4.5121021
9000000000,20.18383,85.482185,-4.9993949,9.0341291
9500000000,20.881466,113.65681,-4.9998312,11.76142
10000000000,20.831564,-137.43297,-4.999938,11.616995
END

