!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:12:36
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG),"Eq=kfac(S11,S21,S12,S22)"(DB),"Eq=kfac(S11,S21,S12,S22)"(DEG),"Eq=mu1(S11,S21,S12,S22)"(DB),"Eq=mu1(S11,S21,S12,S22)"(DEG),"Eq=mu2(S11,S21,S12,S22)"(DB),"Eq=mu2(S11,S21,S12,S22)"(DEG)
10000000,-0.48423767,-26.622707,-46.686707,101.8257,-58.311298,118.28397,-0.15265727,-12.006998,-4.5498524,180,-0.010353777,180,-0.024303613,0
51868750,-0.6816088,-33.095261,-27.129538,-28.198153,-58.428051,109.22722,-0.20661049,-14.314556,36.436535,0,0.054825827,0,0.81609297,0
93737500,-0.94761813,-40.698956,-18.767702,-54.758297,-58.992123,99.362793,-0.23547763,-17.065042,29.915188,0,0.090836577,0,0.55975866,0
135606250,-1.3168721,-49.670727,-13.965919,-70.323059,-59.37767,88.441254,-0.26443771,-20.211643,26.417326,0,0.12637317,0,0.49317488,0
177475000,-1.8234676,-60.352036,-10.377627,-82.262856,-59.737301,74.378914,-0.29936752,-23.741371,29.758825,0,0.14831425,0,0.56101638,0
219343750,-2.4839826,-73.329681,-7.762105,-91.531601,-60.488358,62.54987,-0.34247923,-27.65431,26.847979,0,0.18868639,0,0.80704868,0
261212500,-3.217459,-89.147827,-5.7502203,-96.837692,-60.658806,49.154888,-0.39549831,-31.964933,28.086227,0,0.19663818,0,1.0752367,0
303081250,-3.8955412,-107.48621,-3.4634299,-93.894806,-60.663593,34.803875,-0.46058872,-36.672501,39.227818,0,0.35620195,0,1.6026298,0
344950000,-4.485642,-127.58192,1.9928633,-96.743378,-60.628719,20.039938,-0.54162735,-41.799458,24.523018,0,1.0058941,0,2.2129319,0
386818750,-5.0050492,-148.94185,1.054095,-143.46376,-60.568333,4.1764731,-0.63971728,-47.358017,25.196096,0,0.87435871,0,3.0232511,0
428687500,-5.4274549,-170.66606,-2.5851221,-106.07394,-59.512096,-16.741177,-0.75961781,-53.066936,33.448788,0,0.50942761,0,4.3134561,0
470556250,-5.8371167,167.2585,3.5081635,-80.919388,-58.230511,-38.195435,-0.90172565,-58.97337,25.777346,0,0.49362868,0,5.7218404,0
512425000,-6.2328663,145.16971,9.0369644,-85.04319,-56.898014,-61.582531,-1.0724412,-65.046211,22.215775,0,0.56699115,0,7.3059545,0
554293750,-6.6171322,123.21091,13.163256,-96.993706,-55.289963,-85.507591,-1.2775701,-71.324257,27.168427,0,0.73709589,0,10.67802,0
596162500,-6.9872055,101.45247,16.274952,-111.53503,-53.920567,-106.15965,-1.5161122,-77.789558,16.035122,0,0.8031019,0,10.627647,0
638031250,-7.3401184,80.018135,18.675901,-126.13621,-52.467781,-119.94778,-1.797612,-84.428246,12.446814,0,0.91281372,0,9.7749233,0
679900000,-7.672287,58.990242,20.557371,-140.17087,-50.689888,-133.71722,-2.114073,-91.210655,11.438519,0,1.1220199,0,8.9470472,0
721768750,-7.9708076,38.500679,22.084005,-153.42722,-50.105644,-148.27744,-2.4353895,-98.09745,10.633765,0,1.3294126,0,7.6725216,0
763637500,-8.224267,18.596449,23.356976,-165.75282,-49.536541,-158.88327,-2.8134563,-105.76169,12.038812,0,1.7294458,0,7.2089238,0
805506250,-8.4222317,-0.46298343,24.41494,-177.3465,-48.47599,-168.75766,-3.2680843,-113.5205,8.8409014,0,1.8647356,0,6.2297058,0
847375000,-8.5289145,-18.421841,25.317505,171.69279,-47.581013,-177.88123,-3.7741637,-121.45663,7.748117,0,2.1953034,0,5.933475,0
889243750,-8.5122204,-34.913113,26.089981,161.50768,-46.713013,175.82253,-4.3244739,-129.58597,7.8765259,0,2.673059,0,5.7625217,0
931112500,-8.3541098,-49.35144,26.730915,151.70943,-45.45446,166.82719,-4.9152904,-137.9493,6.8343196,0,2.951725,0,5.4012871,0
972981250,-8.1351099,-61.155239,27.296976,142.54187,-44.779846,159.40105,-5.5386448,-146.53787,5.9989095,0,3.2824826,0,5.0391521,0
1014850000,-7.982832,-70.63018,27.754591,133.92812,-44.228786,152.67343,-6.187355,-155.36688,6.6250534,0,3.9455843,0,5.2216754,0
