!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:44:43
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),NF(DB),NF(DEG)
1000000000,0.65844011,0
1500000000,0.33049896,0
2000000000,0.12822284,0
2500000000,0.16411914,0
3000000000,0.17913201,0
3500000000,0.081158772,0
4000000000,0.20248872,0
4500000000,0.099363089,0
5000000000,0.19854522,0
5500000000,0.09377721,0
6000000000,0.1591775,0
6500000000,0.23359011,0
7000000000,0.28856906,0
7500000000,0.33421761,0
8000000000,0.32615188,0
8500000000,0.37844285,0
9000000000,0.50843531,0
9500000000,0.59651184,0
10000000000,0.61715376,0
END

