!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September, 01, 2025 15:44:07
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",19,,,,,,,
"Num Power Points:",32,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
1e+009,-7.23751,-74.1309,-31.1456,-163.958,-2.9963,-24.1571,28.1493,139.801,0,0,0,0
1e+009,-7.21947,-73.9621,-29.1495,164.183,-1.00628,-55.9167,28.1432,139.901,-0.00606725,0.0992043,0,0
1e+009,-7.2214,-73.8587,-28.1182,121.608,0.011963,-98.4664,28.1302,139.925,-0.0191249,0.123768,0,0
1e+009,-7.20123,-73.7306,-27.1376,129.592,0.979871,-90.4109,28.1175,139.997,-0.0317771,0.195517,0,0
1e+009,-7.17895,-73.5795,-26.0977,-88.3662,1.99893,51.6977,28.0967,140.064,-0.0526175,0.262487,0,0
1e+009,-7.15275,-73.4177,-25.1513,11.911,2.91719,152.044,28.0685,140.133,-0.0808365,0.331765,0,0
1e+009,-7.11805,-73.2735,-24.1807,-113.874,3.85085,26.3432,28.0315,140.217,-0.117782,0.415786,0,0
1e+009,-7.05985,-73.0972,-23.1812,120.446,4.79613,-99.2326,27.9773,140.322,-0.17201,0.520314,0,0
1e+009,-6.99501,-72.914,-22.1915,128.735,5.70942,-90.8431,27.901,140.422,-0.248325,0.620217,0,0
1e+009,-6.90247,-72.5719,-21.2068,3.09793,6.58961,143.683,27.7964,140.585,-0.352893,0.783566,0,0
1e+009,-6.78802,-71.709,-20.2135,11.4489,7.44105,152.377,27.6545,140.928,-0.494758,1.12685,0,0
1e+009,-6.65809,-70.0146,-19.2186,61.464,8.24231,-157.021,27.4609,141.515,-0.688409,1.7136,0,0
1e+009,-6.5113,-67.0289,-18.2305,-114.588,8.97315,27.8799,27.2037,142.468,-0.94561,2.66681,0,0
1e+009,-6.38048,-62.3604,-17.2456,-106.253,9.61403,37.6105,26.8596,143.864,-1.2897,4.06247,0,0
1e+009,-6.28935,-56.4267,-16.2593,35.9303,10.18,-178.576,26.4393,145.493,-1.71002,5.69201,0,0
1e+009,-6.23571,-49.8805,-15.2672,178.199,10.6891,-34.6398,25.9563,147.161,-2.19303,7.35972,0,0
1e+009,-6.1939,-43.1166,-14.2706,2.12777,11.1612,150.898,25.4318,148.77,-2.71747,8.96841,0,0
1e+009,-6.14541,-36.4776,-13.2695,144.431,11.6159,-65.277,24.8854,150.292,-3.26392,10.4903,0,0
1e+009,-6.07597,-30.2146,-12.2651,-165.402,12.0829,-13.6932,24.348,151.709,-3.80131,11.9073,0,0
1e+009,-6.00163,-24.4863,-11.2599,-22.9722,12.5633,129.96,23.8232,152.933,-4.32608,13.1312,0,0
1e+009,-5.92741,-19.3308,-10.2552,-14.4032,13.0677,139.556,23.323,153.959,-4.82633,14.1578,0,0
1e+009,-5.8569,-14.6975,-9.24767,-139.631,13.6008,15.1775,22.8485,154.809,-5.30078,15.0071,0,0
1e+009,-5.78104,-10.6231,-8.24056,95.1885,14.1639,-109.283,22.4045,155.528,-5.74483,15.7266,0,0
1e+009,-5.69854,-7.07528,-7.23366,11.7336,14.7547,167.917,21.9883,156.183,-6.16098,16.3821,0,0
1e+009,-5.61439,-3.95541,-6.22363,62.1285,15.3675,-141.072,21.5911,156.8,-6.55818,16.9984,0,0
1e+009,-5.53713,-1.13609,-5.22461,29.3152,15.9822,-173.294,21.2068,157.391,-6.94246,17.5895,0,0
1e+009,-5.47048,1.53169,-4.22161,-54.0988,16.5978,103.866,20.8194,157.965,-7.3299,18.1638,0,0
1e+009,-5.33052,4.63387,-3.21636,-179.174,17.1107,-20.3497,20.3271,158.825,-7.82221,19.0233,0,0
1e+009,-4.95198,9.27209,-2.20298,-170.423,17.3013,-9.64331,19.5043,160.78,-8.645,20.9787,0,0
1e+009,-4.37707,16.0121,-1.17146,-161.71,16.9251,3.05683,18.0965,164.767,-10.0528,24.9652,0,0
1e+009,-3.27295,44.1359,0.0679501,73.1298,0.623822,-120.647,0.555872,166.223,-27.5934,26.422,0,0
1e+009,-3.55063,45.9791,1.08773,-143.923,-1.50348,24.0481,-2.5912,167.971,-30.7405,28.1694,0,0
1.5e+009,-9.87541,-124.634,-30.0617,59.7874,0.190087,123.114,30.2518,63.3263,0,0,0,0
1.5e+009,-9.87172,-124.555,-28.7102,26.3047,1.53968,89.6638,30.2499,63.3591,-0.00194887,0.0328348,0,0
1.5e+009,-9.86578,-124.576,-27.6994,-16.6814,2.54801,46.6648,30.2475,63.3462,-0.00434688,0.019911,0,0
1.5e+009,-9.85313,-124.549,-26.7264,-9.06836,3.5204,54.3203,30.2468,63.3887,-0.00501183,0.0623957,0,0
1.5e+009,-9.83986,-124.502,-25.759,132.419,4.48404,-164.164,30.2431,63.4171,-0.00875024,0.0907739,0,0
1.5e+009,-9.822,-124.43,-24.7726,-127.568,5.46607,-64.1186,30.2386,63.4494,-0.0131602,0.123106,0,0
1.5e+009,-9.80844,-124.38,-23.7717,106.359,6.45897,169.838,30.2307,63.4792,-0.0211235,0.152922,0,0
1.5e+009,-9.77709,-124.231,-22.7917,-19.7616,7.4266,43.7846,30.2183,63.5462,-0.0335149,0.219959,0,0
1.5e+009,-9.74073,-124.172,-21.792,-11.8178,8.41291,51.7844,30.2049,63.6022,-0.0469046,0.275882,0,0
1.5e+009,-9.68692,-124.044,-20.8009,-137.938,9.37785,-74.2697,30.1788,63.6682,-0.0730413,0.341904,0,0
1.5e+009,-9.6182,-123.889,-19.8035,-129.955,10.3366,-66.2074,30.1401,63.7475,-0.111685,0.421185,0,0
1.5e+009,-9.53022,-123.704,-18.8042,-80.3052,11.2803,-16.4703,30.0846,63.8349,-0.167225,0.508585,0,0
1.5e+009,-9.41686,-123.441,-17.807,103.305,12.2039,167.24,30.0109,63.9349,-0.240865,0.608597,0,0
