!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 15:44:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG),"Eq=kfac(S11,S21,S12,S22)"(DB),"Eq=kfac(S11,S21,S12,S22)"(DEG),"Eq=mu1(S11,S21,S12,S22)"(DB),"Eq=mu1(S11,S21,S12,S22)"(DEG),"Eq=mu2(S11,S21,S12,S22)"(DB),"Eq=mu2(S11,S21,S12,S22)"(DEG)
10000000,-0.46641386,-26.554203,-52.180576,-93.691605,-56.881195,-44.538574,-0.18881071,-12.267708,22.432507,0,0.055549152,0,0.083138011,0
51868750,-0.62265104,-33.138161,-28.168421,-21.555798,-57.096165,-43.5298,-0.24797876,-14.529993,41.982502,0,0.097659029,0,0.78978962,0
93737500,-0.8330729,-40.877064,-18.970661,-49.804424,-57.668259,-43.510784,-0.27685669,-17.242968,36.241299,0,0.16621791,0,0.53186965,0
135606250,-1.1212118,-50.041405,-13.964624,-66.709229,-58.268871,-47.604576,-0.30494761,-20.3619,26.638727,0,0.2032689,0,0.42526853,0
177475000,-1.5124768,-60.928825,-10.399759,-79.773056,-58.732845,-49.097126,-0.33851129,-23.86187,36.948528,0,0.2407809,0,0.46177313,0
219343750,-2.0106061,-73.950859,-7.8365693,-90.455429,-59.015011,-50.973663,-0.3794398,-27.734812,26.536741,0,0.26016539,0,0.63064104,0
261212500,-2.573246,-89.385475,-6.0837092,-97.380226,-59.263901,-54.093441,-0.42985052,-31.998184,26.304871,0,0.24295408,0,0.89279699,0
303081250,-3.1286049,-107.09729,-4.5429583,-94.404976,-59.539528,-58.63134,-0.49096611,-36.657085,28.013716,0,0.39364153,0,1.3281465,0
344950000,-3.640594,-126.57984,0.48049319,-88.704147,-59.730801,-63.305351,-0.56720239,-41.730553,32.724407,0,1.0115968,0,1.8845348,0
386818750,-4.1096153,-147.40662,0.99363106,-135.32994,-59.701256,-68.389229,-0.65891361,-47.242924,24.399675,0,0.9623127,0,2.4611602,0
428687500,-4.5030403,-168.68808,-3.2636747,-99.858765,-58.509968,-72.450928,-0.76944327,-52.941456,31.307629,0,0.52279091,0,3.4694297,0
470556250,-4.8932924,169.62651,3.255229,-71.614479,-57.122063,-76.580864,-0.89872551,-58.823303,26.570322,0,0.49527898,0,4.5268025,0
512425000,-5.2782416,147.88321,9.1224136,-76.576668,-55.961563,-84.319038,-1.05433,-64.886093,21.074888,0,0.56597149,0,5.9630342,0
554293750,-5.6576958,126.2326,13.425322,-89.561394,-54.105438,-93.958923,-1.2421097,-71.157928,16.068399,0,0.64050126,0,7.2065635,0
