!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September, 01, 2025 16:01:52
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",19,,,,,,,
"Num Power Points:",32,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
1e+009,-7.22841,-63.7386,-31.1858,-155.113,-6.22145,-15.0193,24.9643,140.094,0,0,0,0
1e+009,-7.23211,-63.6779,-29.0623,-145.112,-4.09836,-4.98542,24.964,140.127,-0.000360348,0.0328767,0,0
1e+009,-7.23436,-63.6477,-28.1042,130.561,-3.1443,-89.3319,24.9599,140.107,-0.0044399,0.0130185,0,0
1e+009,-7.23935,-63.6159,-27.0997,-129.214,-2.14709,10.9128,24.9526,140.127,-0.011749,0.0326519,0,0
1e+009,-7.23476,-63.5746,-26.1158,-162.785,-1.16667,-22.6787,24.9491,140.106,-0.0152324,0.0121747,0,0
1e+009,-7.23677,-63.5098,-25.0966,-154.647,-0.164525,-14.5134,24.9321,140.134,-0.0322496,0.0399587,0,0
1e+009,-7.22855,-63.4108,-24.1367,-146.571,0.776792,-6.42309,24.9135,140.148,-0.05086,0.0538337,0,0
1e+009,-7.20923,-63.1414,-23.1223,87.8006,1.75971,-131.994,24.882,140.206,-0.0823118,0.111685,0,0
1e+009,-7.18549,-62.6318,-22.1403,-37.8266,2.68536,102.554,24.8256,140.38,-0.138689,0.286466,0,0
1e+009,-7.13895,-61.5546,-21.1451,-29.5971,3.5928,111.141,24.7379,140.738,-0.226403,0.644334,0,0
