!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September 01, 2025 16:03:52
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),NF(DB),NF(DEG)
1000000000,1.4447384,0
1500000000,0.95303607,0
2000000000,0.66167724,0
2500000000,0.65427929,0
3000000000,0.67783654,0
3500000000,0.55555093,0
4000000000,0.70917213,0
4500000000,0.57433188,0
5000000000,0.65743321,0
5500000000,0.65515071,0
6000000000,0.70971513,0
6500000000,0.73202401,0
7000000000,0.8262623,0
7500000000,0.8662405,0
8000000000,0.93830287,0
8500000000,0.9750163,0
9000000000,1.1688681,0
9500000000,1.2903712,0
10000000000,1.387195,0
END

